calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,CO,1.985280344410352e-05
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,2.627856366892296e-05
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,PM,1.6951941459117854e-06
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.6850229810363146e-06
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.6121296327621078e-06
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.8036564123985706e-08
2017,July,Colusa (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,6.843850400399955e-06
2017,July,Colusa (SV),All Other Buses,Dsl,PMBW,DSL,PM,2.119485878600812e-06
2017,July,Colusa (SV),All Other Buses,Dsl,PMBW,DSL,PM10,2.119485878600812e-06
2017,July,Colusa (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.418200575102843e-07
2017,July,Colusa (SV),All Other Buses,Dsl,PMTW,DSL,PM,5.512640666069699e-07
2017,July,Colusa (SV),All Other Buses,Dsl,PMTW,DSL,PM10,5.512640666069699e-07
2017,July,Colusa (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.3781601665174249e-07
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0003223484887622711
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,1.2403437943819837e-06
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0006910867831263834
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,PM,7.279069970213144e-05
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,7.235395550391865e-05
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,6.9223955416727e-05
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,5.99796706379275e-07
2017,July,Colusa (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00015972531369069546
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,CO,3.4283562070412244e-05
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,7.728412332619005e-05
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,PM,5.118495256332202e-07
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,5.087784284794207e-07
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,4.867688988771923e-07
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,7.600071893489553e-08
2017,July,Colusa (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,6.320236842562559e-06
2017,July,Colusa (SV),Motor Coach,Dsl,PMBW,DSL,PM,6.688864741655968e-06
2017,July,Colusa (SV),Motor Coach,Dsl,PMBW,DSL,PM10,6.688864741655968e-06
2017,July,Colusa (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,2.341102659579589e-06
2017,July,Colusa (SV),Motor Coach,Dsl,PMTW,DSL,PM,9.67205228335512e-07
2017,July,Colusa (SV),Motor Coach,Dsl,PMTW,DSL,PM10,9.67205228335512e-07
2017,July,Colusa (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.41801307083878e-07
2017,July,Colusa (SV),Motor Coach,Dsl,RUNEX,DSL,CO,8.827370208823225e-05
2017,July,Colusa (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,1.1915298973885205e-05
2017,July,Colusa (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.000504713323059825
2017,July,Colusa (SV),Motor Coach,Dsl,RUNEX,DSL,PM,1.520191963821026e-05
2017,July,Colusa (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,1.5110708120381003e-05
