calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.00021167240096068416
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0009182243182429829
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,PM,1.0840835515377632e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,1.0775790502285368e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.0309634575124133e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,5.916208890457885e-07
2017,July,Contra Costa (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,4.191293812846008e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.0002528825253294245
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.0002528825253294245
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,8.850888386529855e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMTW,DSL,PM,6.577304934863142e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMTW,DSL,PM10,6.577304934863142e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.6443262337157855e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.015456027948651418
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0003452972704988267
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.052817244978965526
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.002616785914748077
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0026010851992595884
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.002488563404925421
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,6.620713179223858e-05
2017,July,Contra Costa (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0073194990961798455
2017,July,Contra Costa (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.00013084234357854825
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,CO,1.5730991211657793e-06
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,NOx,5.095177215546506e-07
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,PM,1.0985505025003102e-09
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,PM10,9.821041492352773e-10
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,9.030085130552549e-10
2017,July,Contra Costa (SF),All Other Buses,NG,IDLEX,CAT,TOG,1.577420722031921e-06
2017,July,Contra Costa (SF),All Other Buses,NG,PMBW,CAT,PM,1.3245719914732116e-06
2017,July,Contra Costa (SF),All Other Buses,NG,PMBW,CAT,PM10,1.3245719914732116e-06
2017,July,Contra Costa (SF),All Other Buses,NG,PMBW,CAT,PM2_5,4.6360019701562413e-07
2017,July,Contra Costa (SF),All Other Buses,NG,PMTW,CAT,PM,3.4451229418676427e-07
2017,July,Contra Costa (SF),All Other Buses,NG,PMTW,CAT,PM10,3.4451229418676427e-07
2017,July,Contra Costa (SF),All Other Buses,NG,PMTW,CAT,PM2_5,8.612807354669107e-08
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,CO,8.876547236109316e-05
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,NH3,3.0431910598016624e-05
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,NOx,8.286992085102915e-06
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,PM,1.868529834813148e-08
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,PM10,1.6704656723229542e-08
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,1.5359315242164076e-08
2017,July,Contra Costa (SF),All Other Buses,NG,RUNEX,CAT,TOG,2.1374217882286092e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.001495421340210427
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.003371071157777431
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,PM,2.2326463686487545e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,2.219250490436863e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,2.1232466965849658e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,3.3150900928309163e-06
2017,July,Contra Costa (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0002756836360860261
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0002917628877122259
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0002917628877122259
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.00010211701069927905
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMTW,DSL,PM,4.218871233441456e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMTW,DSL,PM10,4.218871233441456e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.054717808360364e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,CO,0.0038504277220494693
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0005197357355613984
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,NOx,0.021813985363924177
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,PM,0.000663095479385543
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0006591169065092296
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0006306038008956513
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,SOx,5.6848632197835554e-05
2017,July,Contra Costa (SF),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0012458351768275388
2017,July,Contra Costa (SF),Motor Coach,Dsl,STREX,DSL,NOx,0.0006908210330374673
2017,July,Contra Costa (SF),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Contra Costa (SF),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Contra Costa (SF),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,CO,0.033277078827810766
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,NH3,0.001663940649612431
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,NOx,0.12963972107352775
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,PM,0.0038159849837089733
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,PM10,0.003793089073806721
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,PM2_5,0.0036290017195072352
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,SOx,0.00029048042328460563
2017,July,Contra Costa (SF),PTO,Dsl,RUNEX,DSL,TOG,0.01047570968598086
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,CO,0.0013143933499861387
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,NOx,0.009866355118581046
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,PM,8.18298893473105e-06
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,PM10,8.133891001122665e-06
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,PM2_5,7.782022476929227e-06
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,SOx,8.704047490076323e-06
2017,July,Contra Costa (SF),SBUS,Dsl,IDLEX,DSL,TOG,7.489069463781009e-05
2017,July,Contra Costa (SF),SBUS,Dsl,PMBW,DSL,PM,0.00045714112298758365
2017,July,Contra Costa (SF),SBUS,Dsl,PMBW,DSL,PM10,0.00045714112298758365
2017,July,Contra Costa (SF),SBUS,Dsl,PMBW,DSL,PM2_5,0.00015999939304565434
2017,July,Contra Costa (SF),SBUS,Dsl,PMTW,DSL,PM,0.00012212922506676946
