calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,CO,1.5743348445531057e-05
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,NOx,8.031011163690828e-05
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,PM,7.815552369169144e-07
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,PM10,7.768659054954131e-07
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,7.432590303079856e-07
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,SOx,4.4964968737960596e-08
2017,July,Del Norte (NC),All Other Buses,Dsl,IDLEX,DSL,TOG,2.805970046616423e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,PMBW,DSL,PM,1.0597429393004059e-05
2017,July,Del Norte (NC),All Other Buses,Dsl,PMBW,DSL,PM10,1.0597429393004059e-05
2017,July,Del Norte (NC),All Other Buses,Dsl,PMBW,DSL,PM2_5,3.7091002875514202e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,PMTW,DSL,PM,2.7563203330348488e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,PMTW,DSL,PM10,2.7563203330348488e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,PMTW,DSL,PM2_5,6.890800832587122e-07
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0008903645996872319
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,NH3,6.201718971909918e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.002856093299024445
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,PM,0.00014697782146781718
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00014609595453901026
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00013977590821589412
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,SOx,2.7789999643456854e-06
2017,July,Del Norte (NC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0004225819849474627
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00017021342877038446
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00038370562527448234
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,PM,2.5412663536416935e-06
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,PM10,2.526018755519843e-06
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,2.4167443023132502e-06
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,SOx,3.7733368931600337e-07
2017,July,Del Norte (NC),Motor Coach,Dsl,IDLEX,DSL,TOG,3.1379154284027e-05
2017,July,Del Norte (NC),Motor Coach,Dsl,PMBW,DSL,PM,3.3209343876776914e-05
2017,July,Del Norte (NC),Motor Coach,Dsl,PMBW,DSL,PM10,3.3209343876776914e-05
