calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,CO,0.0001340198059805892
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00032534492630838404
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,PM,9.882632150308494e-06
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,PM10,9.823336357406645e-06
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,PM2_5,9.398383174943376e-06
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,SOx,2.0576523676213584e-07
2017,July,El Dorado (LT),All Other Buses,Dsl,IDLEX,DSL,TOG,3.9019798808319994e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMBW,DSL,PM,8.188913817560825e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMBW,DSL,PM10,8.188913817560825e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.8661198361462884e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMTW,DSL,PM,2.1298815801229547e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMTW,DSL,PM10,2.1298815801229547e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.324703950307387e-06
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,CO,0.009072408438512989
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,NH3,4.900555092173886e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,NOx,0.025228276058594595
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,PM,0.0018540026308048966
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,PM10,0.001842878615020067
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0017631565018954565
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,SOx,2.230076167036781e-05
2017,July,El Dorado (LT),All Other Buses,Dsl,RUNEX,DSL,TOG,0.004427925460423956
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,CO,6.0546913250583474e-06
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,NOx,1.961079557640494e-06
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,PM,4.22820412784794e-09
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,PM10,3.780014490296059e-09
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,PM2_5,3.475583793091008e-09
2017,July,El Dorado (LT),All Other Buses,NG,IDLEX,CAT,TOG,6.071324707483225e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMBW,CAT,PM,4.543388224236486e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMBW,CAT,PM10,4.543388224236486e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMBW,CAT,PM2_5,1.5901858784827699e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMTW,CAT,PM,1.1817048152829647e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMTW,CAT,PM10,1.1817048152829647e-06
2017,July,El Dorado (LT),All Other Buses,NG,PMTW,CAT,PM2_5,2.954262038207412e-07
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,CO,0.0003044726933985877
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,NH3,0.00010438389543347256
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,NOx,2.948400274739138e-05
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,PM,6.409207278105346e-08
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,PM10,5.7298313066261804e-08
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,PM2_5,5.2683683826025947e-08
2017,July,El Dorado (LT),All Other Buses,NG,RUNEX,CAT,TOG,7.331528256205581e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,CO,0.0005391182417476701
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0012153136420612512
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,PM,8.048971566373831e-06
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,PM10,8.000677736975591e-06
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,PM2_5,7.654571959621515e-06
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,SOx,1.195131762551039e-06
2017,July,El Dorado (LT),Motor Coach,Dsl,IDLEX,DSL,TOG,9.938742558293916e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,PMBW,DSL,PM,0.00010518419846972668
2017,July,El Dorado (LT),Motor Coach,Dsl,PMBW,DSL,PM10,0.00010518419846972668
2017,July,El Dorado (LT),Motor Coach,Dsl,PMBW,DSL,PM2_5,3.6814469464404346e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,PMTW,DSL,PM,1.5209562553213371e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,PMTW,DSL,PM10,1.5209562553213371e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,PMTW,DSL,PM2_5,3.8023906383033428e-06
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,CO,0.0013881277255140697
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00018737128354384862
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,NOx,0.008173515182864794
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,PM,0.00023905427813307483
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00023761995246427642
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.00022734061850455413
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,SOx,2.049464844112547e-05
2017,July,El Dorado (LT),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00044913928405193723
2017,July,El Dorado (LT),Motor Coach,Dsl,STREX,DSL,NOx,0.00024904968966208687
2017,July,El Dorado (LT),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,El Dorado (LT),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,El Dorado (LT),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,CO,0.00028100648746098817
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,NH3,1.0860912735181109e-05
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,NOx,0.001096695751051438
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,PM,3.417756704289454e-05
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,PM10,3.3972501640637184e-05
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,PM2_5,3.2502866257792706e-05
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,SOx,1.9253058040283586e-06
2017,July,El Dorado (LT),PTO,Dsl,RUNEX,DSL,TOG,8.357590988130218e-05
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,CO,0.00014801668452233877
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,NOx,0.002200545750328462
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,PM,2.839298326475642e-06
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,PM10,2.822262536516789e-06
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,PM2_5,2.7001727084783365e-06
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,SOx,1.4906380622112218e-06
2017,July,El Dorado (LT),SBUS,Dsl,IDLEX,DSL,TOG,1.3058172979519674e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMBW,DSL,PM,6.497268432744772e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMBW,DSL,PM10,6.497268432744772e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMBW,DSL,PM2_5,2.2740439514606702e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMTW,DSL,PM,1.7358017444504875e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMTW,DSL,PM10,1.7358017444504875e-05
2017,July,El Dorado (LT),SBUS,Dsl,PMTW,DSL,PM2_5,4.339504361126219e-06
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,CO,0.00040518171340910426
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,NH3,0.00010446799955689475
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,NOx,0.013819427790949424
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,PM,6.27911419574024e-05
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,PM10,6.2414395105658e-05
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,PM2_5,5.9714376001489694e-05
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,SOx,1.58973013975759e-05
2017,July,El Dorado (LT),SBUS,Dsl,RUNEX,DSL,TOG,0.00016019355304423578
2017,July,El Dorado (LT),SBUS,Dsl,STREX,DSL,NOx,0.0001691608149647017
2017,July,El Dorado (LT),SBUS,Gas,DIURN,CAT,TOG,2.3804733831107294e-05
2017,July,El Dorado (LT),SBUS,Gas,DIURN,NCAT,TOG,2.9103686703678505e-05
2017,July,El Dorado (LT),SBUS,Gas,HOTSOAK,CAT,TOG,6.704178668305784e-06
2017,July,El Dorado (LT),SBUS,Gas,HOTSOAK,NCAT,TOG,2.1181423093294858e-05
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,CAT,CO,0.00012800012012886461
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,CAT,NOx,1.4474530598012478e-06
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,CAT,SOx,4.7164393410870173e-08
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,CAT,TOG,2.3238442350864204e-05
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,NCAT,CO,0.00012800012012886461
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,NCAT,NOx,1.4474530598012478e-06
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,NCAT,SOx,4.7164393410870173e-08
2017,July,El Dorado (LT),SBUS,Gas,IDLEX,NCAT,TOG,2.300695782391626e-05
2017,July,El Dorado (LT),SBUS,Gas,PMBW,CAT,PM,3.5424702233139075e-06
2017,July,El Dorado (LT),SBUS,Gas,PMBW,CAT,PM10,3.5424702233139075e-06
2017,July,El Dorado (LT),SBUS,Gas,PMBW,CAT,PM2_5,1.2398645781598675e-06
2017,July,El Dorado (LT),SBUS,Gas,PMBW,NCAT,PM,3.5424702233139075e-06
2017,July,El Dorado (LT),SBUS,Gas,PMBW,NCAT,PM10,3.5424702233139075e-06
2017,July,El Dorado (LT),SBUS,Gas,PMBW,NCAT,PM2_5,1.2398645781598675e-06
2017,July,El Dorado (LT),SBUS,Gas,PMTW,CAT,PM,6.1213728114899e-07
2017,July,El Dorado (LT),SBUS,Gas,PMTW,CAT,PM10,6.1213728114899e-07
2017,July,El Dorado (LT),SBUS,Gas,PMTW,CAT,PM2_5,1.530343202872475e-07
2017,July,El Dorado (LT),SBUS,Gas,PMTW,NCAT,PM,6.1213728114899e-07
2017,July,El Dorado (LT),SBUS,Gas,PMTW,NCAT,PM10,6.1213728114899e-07
2017,July,El Dorado (LT),SBUS,Gas,PMTW,NCAT,PM2_5,1.530343202872475e-07
2017,July,El Dorado (LT),SBUS,Gas,RUNEX,CAT,CO,0.008128790925889733
2017,July,El Dorado (LT),SBUS,Gas,RUNEX,CAT,NH3,3.4432712196182977e-06
2017,July,El Dorado (LT),SBUS,Gas,RUNEX,CAT,NOx,0.00020018962715578835
2017,July,El Dorado (LT),SBUS,Gas,RUNEX,CAT,PM,1.1810940185189304e-06
