calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,CO,0.00012296921919120063
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0003200477163691751
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,PM,6.796698960487331e-06
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,6.755918766724406e-06
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,6.463660711423451e-06
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.4311638887515285e-07
2017,July,El Dorado (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,2.6998150997507505e-05
2017,July,El Dorado (MC),All Other Buses,Dsl,PMBW,DSL,PM,0.0001178283776680254
2017,July,El Dorado (MC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0001178283776680254
2017,July,El Dorado (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.123993218380889e-05
2017,July,El Dorado (MC),All Other Buses,Dsl,PMTW,DSL,PM,3.064637103308166e-05
2017,July,El Dorado (MC),All Other Buses,Dsl,PMTW,DSL,PM10,3.064637103308166e-05
2017,July,El Dorado (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,7.661592758270414e-06
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.007053063839578169
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0002684127434944204
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.02159486016262017
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0013658207012739365
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.001357625777066293
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0012988954869115137
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,3.031534332380248e-05
2017,July,El Dorado (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0033730974045070306
2017,July,El Dorado (MC),All Other Buses,Dsl,STREX,DSL,NOx,0.00015049135314548756
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,CO,2.685430581772306e-06
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,NOx,8.697954585365322e-07
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,PM,1.8753307247730487e-09
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,PM10,1.6765456679471058e-09
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,1.5415218557634463e-09
2017,July,El Dorado (MC),All Other Buses,NG,IDLEX,CAT,TOG,2.692807967578452e-06
2017,July,El Dorado (MC),All Other Buses,NG,PMBW,CAT,PM,2.083124173513671e-06
2017,July,El Dorado (MC),All Other Buses,NG,PMBW,CAT,PM10,2.083124173513671e-06
2017,July,El Dorado (MC),All Other Buses,NG,PMBW,CAT,PM2_5,7.290934607297849e-07
2017,July,El Dorado (MC),All Other Buses,NG,PMTW,CAT,PM,5.418066309064152e-07
2017,July,El Dorado (MC),All Other Buses,NG,PMTW,CAT,PM10,5.418066309064152e-07
