calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00042811713458584474
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0016354196356237415
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,2.4029929630331824e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,2.3885750052549827e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.285246307844556e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.099011355066555e-06
2017,July,Fresno (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,9.491712347793545e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,PMBW,DSL,PM,0.00026484640684328004
2017,July,Fresno (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00026484640684328004
2017,July,Fresno (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.2696242395148e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,PMTW,DSL,PM,6.888477471671257e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,6.888477471671257e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.7221193679178144e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.016305364566885725
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00037738912705012563
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.05500875415208005
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0029127570894214327
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0028952805468849038
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.002770031992039783
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,6.918874172063562e-05
2017,July,Fresno (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.007778126116524051
2017,July,Fresno (SJV),All Other Buses,Dsl,STREX,DSL,NOx,0.0003046807234761661
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,CO,1.8125838945074723e-06
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,NOx,5.870854567458471e-07
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,PM,1.2657911515833275e-09
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,PM10,1.1316172895154947e-09
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,PM2_5,1.0404803266014953e-09
2017,July,Fresno (SJV),All Other Buses,NG,IDLEX,CAT,TOG,1.8175634053488817e-06
2017,July,Fresno (SJV),All Other Buses,NG,PMBW,CAT,PM,9.469865492547297e-07
2017,July,Fresno (SJV),All Other Buses,NG,PMBW,CAT,PM10,9.469865492547297e-07
