calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,CO,6.311744006612472e-06
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,3.47673818373749e-05
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,PM,1.4940398006453482e-07
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.4850755618414764e-07
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.420831850413726e-07
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,2.3841695161316586e-08
2017,July,Glenn (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,5.735500339414922e-07
2017,July,Glenn (SV),All Other Buses,Dsl,PMBW,DSL,PM,9.00763678356033e-06
2017,July,Glenn (SV),All Other Buses,Dsl,PMBW,DSL,PM10,9.00763678356033e-06
2017,July,Glenn (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,3.1526728742461147e-06
2017,July,Glenn (SV),All Other Buses,Dsl,PMTW,DSL,PM,2.342825934326133e-06
2017,July,Glenn (SV),All Other Buses,Dsl,PMTW,DSL,PM10,2.342825934326133e-06
2017,July,Glenn (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.857064835815333e-07
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.00030602244599653867
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,2.18719492404699e-05
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.001081583021354707
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,PM,4.366692910843758e-05
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,4.340492753378695e-05
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,4.1527249582124144e-05
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,2.187986657174994e-06
2017,July,Glenn (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0001335315485000661
2017,July,Glenn (SV),All Other Buses,Dsl,STREX,DSL,NOx,2.2868468047004164e-05
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Glenn (SV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Glenn (SV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Glenn (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,CO,9.893502002828532e-05
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0002230254333969547
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,PM,1.4770881440494972e-06
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,1.4682256151852e-06
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.404710824991072e-06
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,2.1932180310041968e-07
2017,July,Glenn (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,1.823885036561239e-05
2017,July,Glenn (SV),Motor Coach,Dsl,PMBW,DSL,PM,1.930263157177189e-05
2017,July,Glenn (SV),Motor Coach,Dsl,PMBW,DSL,PM10,1.930263157177189e-05
2017,July,Glenn (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,6.755921050120162e-06
2017,July,Glenn (SV),Motor Coach,Dsl,PMTW,DSL,PM,2.791147212259197e-06
2017,July,Glenn (SV),Motor Coach,Dsl,PMTW,DSL,PM10,2.791147212259197e-06
2017,July,Glenn (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,6.977868030647993e-07
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.00025473900500246315
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,3.438500179680376e-05
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0014610000988486845
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,PM,4.386948537509372e-05
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,4.3606268462843145e-05
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,4.1719880591714115e-05
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,3.7610273577916994e-06
2017,July,Glenn (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,8.24227426799203e-05
2017,July,Glenn (SV),Motor Coach,Dsl,STREX,DSL,NOx,4.570376983513243e-05
2017,July,Glenn (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Glenn (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Glenn (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,CO,0.0048964408136127685
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,NH3,0.0001726085799664857
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,NOx,0.015439904537475534
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,PM,0.0005753348200078785
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,PM10,0.0005718828110878311
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.0005471434138274923
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,SOx,3.126733705732048e-05
2017,July,Glenn (SV),PTO,Dsl,RUNEX,DSL,TOG,0.0014509887378283497
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,CO,8.968780304851297e-05
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.0013918518777420812
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,PM,2.525093887031687e-06
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,PM10,2.5099433237094964e-06
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,2.4013642865671346e-06
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,SOx,9.636532976857732e-07
2017,July,Glenn (SV),SBUS,Dsl,IDLEX,DSL,TOG,1.1646957816944663e-05
2017,July,Glenn (SV),SBUS,Dsl,PMBW,DSL,PM,4.248260220726774e-05
2017,July,Glenn (SV),SBUS,Dsl,PMBW,DSL,PM10,4.248260220726774e-05
2017,July,Glenn (SV),SBUS,Dsl,PMBW,DSL,PM2_5,1.4868910772543706e-05
2017,July,Glenn (SV),SBUS,Dsl,PMTW,DSL,PM,1.1349596493278852e-05
2017,July,Glenn (SV),SBUS,Dsl,PMTW,DSL,PM10,1.1349596493278852e-05
2017,July,Glenn (SV),SBUS,Dsl,PMTW,DSL,PM2_5,2.837399123319713e-06
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,CO,0.0003256303206385591
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,NH3,5.520910329312604e-05
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,NOx,0.00846972653015042
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,PM,5.8010661452675444e-05
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,PM10,5.7662597483959394e-05
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,PM2_5,5.516813904149434e-05
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,SOx,1.073152984658873e-05
2017,July,Glenn (SV),SBUS,Dsl,RUNEX,DSL,TOG,0.00013399068926334256
2017,July,Glenn (SV),SBUS,Dsl,STREX,DSL,NOx,7.370558673361024e-05
2017,July,Glenn (SV),SBUS,Gas,DIURN,CAT,TOG,0.00017790203197748977
2017,July,Glenn (SV),SBUS,Gas,DIURN,NCAT,TOG,6.381950049251589e-06
2017,July,Glenn (SV),SBUS,Gas,HOTSOAK,CAT,TOG,3.6046764157620766e-05
2017,July,Glenn (SV),SBUS,Gas,HOTSOAK,NCAT,TOG,3.003483775533144e-06
2017,July,Glenn (SV),SBUS,Gas,IDLEX,CAT,CO,0.0012185106014641802
2017,July,Glenn (SV),SBUS,Gas,IDLEX,CAT,NOx,1.3744785140660703e-05
2017,July,Glenn (SV),SBUS,Gas,IDLEX,CAT,SOx,4.1873128634088925e-07
2017,July,Glenn (SV),SBUS,Gas,IDLEX,CAT,TOG,0.00022634615900012038
2017,July,Glenn (SV),SBUS,Gas,IDLEX,NCAT,CO,1.6399728392990394e-05
2017,July,Glenn (SV),SBUS,Gas,IDLEX,NCAT,NOx,1.8545167784565504e-07
2017,July,Glenn (SV),SBUS,Gas,IDLEX,NCAT,SOx,6.042832154998835e-09
2017,July,Glenn (SV),SBUS,Gas,IDLEX,NCAT,TOG,2.947714885590387e-06
2017,July,Glenn (SV),SBUS,Gas,PMBW,CAT,PM,1.8792608549773242e-05
2017,July,Glenn (SV),SBUS,Gas,PMBW,CAT,PM10,1.8792608549773242e-05
2017,July,Glenn (SV),SBUS,Gas,PMBW,CAT,PM2_5,6.5774129924206345e-06
2017,July,Glenn (SV),SBUS,Gas,PMBW,NCAT,PM,2.94181187159851e-07
2017,July,Glenn (SV),SBUS,Gas,PMBW,NCAT,PM10,2.94181187159851e-07
2017,July,Glenn (SV),SBUS,Gas,PMBW,NCAT,PM2_5,1.0296341550594786e-07
2017,July,Glenn (SV),SBUS,Gas,PMTW,CAT,PM,5.748088358788719e-06
2017,July,Glenn (SV),SBUS,Gas,PMTW,CAT,PM10,5.748088358788719e-06
2017,July,Glenn (SV),SBUS,Gas,PMTW,CAT,PM2_5,1.4370220896971798e-06
2017,July,Glenn (SV),SBUS,Gas,PMTW,NCAT,PM,8.998109298182501e-08
2017,July,Glenn (SV),SBUS,Gas,PMTW,NCAT,PM10,8.998109298182501e-08
2017,July,Glenn (SV),SBUS,Gas,PMTW,NCAT,PM2_5,2.2495273245456253e-08
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,CO,0.008377041489760938
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,NH3,2.8947675186374532e-05
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,NOx,0.0008782649807478499
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,PM,2.7895800334982195e-06
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,PM10,2.4938845499474078e-06
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,PM2_5,2.2930347875355366e-06
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,SOx,3.71748887274852e-06
2017,July,Glenn (SV),SBUS,Gas,RUNEX,CAT,TOG,0.0006084650828199208
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,CO,0.0008721733487119474
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,NH3,5.623816699572906e-08
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,NOx,1.7447703069117062e-05
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,PM,2.761175568120551e-07
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,PM10,2.6534897209638494e-07
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,PM2_5,2.5319979959665454e-07
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,SOx,7.107571881956902e-08
2017,July,Glenn (SV),SBUS,Gas,RUNEX,NCAT,TOG,4.012339077787907e-05
2017,July,Glenn (SV),SBUS,Gas,RUNLOSS,CAT,TOG,9.74994155876764e-05
2017,July,Glenn (SV),SBUS,Gas,RUNLOSS,NCAT,TOG,3.0561931034640764e-06
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,CO,0.0007994154197561455
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,NOx,3.348391565300232e-05
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,PM,1.7227047202718e-07
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,PM10,1.54009801992299e-07
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,PM2_5,1.4160632800634195e-07
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,SOx,3.990603701874532e-08
2017,July,Glenn (SV),SBUS,Gas,STREX,CAT,TOG,3.7540569983559005e-05
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,CO,2.3350390336584535e-06
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,NOx,5.266592737518025e-07
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,PM,2.1926913187963073e-08
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,PM10,2.1071763573632512e-08
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,PM2_5,2.010697939336214e-08
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,SOx,1.0118625318608015e-09
2017,July,Glenn (SV),SBUS,Gas,STREX,NCAT,TOG,7.142583126188591e-06
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,CO,0.0
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,NOx,0.0
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,PM,0.0
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,PM10,0.0
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Glenn (SV),SBUS,NG,IDLEX,CAT,TOG,0.0
2017,July,Glenn (SV),SBUS,NG,PMBW,CAT,PM,0.0
2017,July,Glenn (SV),SBUS,NG,PMBW,CAT,PM10,0.0
2017,July,Glenn (SV),SBUS,NG,PMBW,CAT,PM2_5,0.0
2017,July,Glenn (SV),SBUS,NG,PMTW,CAT,PM,0.0
2017,July,Glenn (SV),SBUS,NG,PMTW,CAT,PM10,0.0
2017,July,Glenn (SV),SBUS,NG,PMTW,CAT,PM2_5,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,CO,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,NOx,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,PM,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,PM10,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Glenn (SV),SBUS,NG,RUNEX,CAT,TOG,0.0
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,CO,9.382650781169506e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,NOx,3.4081089991303023e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM,1.1127220468982473e-09
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM10,1.1060457146168584e-09
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM2_5,1.0581986666002333e-09
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,SOx,3.3285838943632526e-10
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,TOG,6.047837525954234e-09
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM,1.4830905203427774e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM10,1.4830905203427774e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM2_5,5.190816821199721e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM,4.205976075922481e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM10,4.205976075922481e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM2_5,1.0514940189806203e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,CO,1.0692230759811198e-06
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,NH3,5.803958799368349e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,NOx,7.844938019653676e-06
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM,2.7038631578094977e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM10,2.68763997886264e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM2_5,2.571373863076831e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,SOx,3.7462780334094417e-08
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,TOG,3.351618901072779e-07
2017,July,Glenn (SV),T6 CAIRP Class 4,Dsl,STREX,DSL,NOx,4.303810935746735e-07
2017,July,Glenn (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,CO,1.1779137789636565e-07
2017,July,Glenn (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,NOx,3.953833240576949e-07
