calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,CO,0.00014391455735405064
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0004434130744075858
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,PM,8.921129534956427e-06
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,PM10,8.86760275774669e-06
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.483994187743563e-06
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.935296978601727e-07
2017,July,Humboldt (NC),All Other Buses,Dsl,IDLEX,DSL,TOG,3.5122969363417545e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMBW,DSL,PM,6.0369473616684815e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMBW,DSL,PM10,6.0369473616684815e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.1129315765839685e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMTW,DSL,PM,1.5701695331334537e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMTW,DSL,PM10,1.5701695331334537e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.925423832833634e-06
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,CO,0.004449921733477577
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,NH3,8.831144988495582e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.013188412278578867
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0008607333414412349
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0008555689413925873
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0008185574077106144
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,SOx,1.5900315689111794e-05
2017,July,Humboldt (NC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0021363649439871783
