calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,CO,0.00021986477352024274
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,NOx,0.000817848393726775
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,PM,1.211070599592374e-05
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,PM10,1.2038041759948198e-05
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.1517281402123476e-05
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,SOx,4.935491269610294e-07
2017,July,Imperial (SS),All Other Buses,Dsl,IDLEX,DSL,TOG,4.496769538197595e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMBW,DSL,PM,7.940123076900756e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMBW,DSL,PM10,7.940123076900756e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.7790430769152648e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMTW,DSL,PM,2.284952660060903e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMTW,DSL,PM10,2.284952660060903e-05
2017,July,Imperial (SS),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.712381650152257e-06
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,CO,0.004268904404473279
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,NH3,7.106265811854574e-05
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,NOx,0.02045569521597559
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,PM,0.0010305049289053457
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0010243218993319135
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0009800101873889836
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,SOx,1.9259602532547174e-05
2017,July,Imperial (SS),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0017204484274847363
2017,July,Imperial (SS),All Other Buses,Dsl,STREX,DSL,NOx,2.680841601441172e-05
2017,July,Imperial (SS),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Imperial (SS),All Other Buses,NG,IDLEX,CAT,NOx,0.0
