calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,CO,1.485029183946465e-05
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,NOx,6.391072247298435e-05
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,PM,9.931881899958102e-07
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,PM10,9.872290608558351e-07
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,9.445219686860152e-07
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,SOx,3.8376270856994093e-08
2017,July,Inyo (GBV),All Other Buses,Dsl,IDLEX,DSL,TOG,3.9594265868466715e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,PMBW,DSL,PM,1.6859732279650782e-05
2017,July,Inyo (GBV),All Other Buses,Dsl,PMBW,DSL,PM10,1.6859732279650782e-05
2017,July,Inyo (GBV),All Other Buses,Dsl,PMBW,DSL,PM2_5,5.900906297877773e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,PMTW,DSL,PM,4.385103327284573e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,PMTW,DSL,PM10,4.385103327284573e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.0962758318211433e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0011073622046489822
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,NH3,1.0838580194136404e-05
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0035626887076439908
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0001949265810517659
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00019375702156545534
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00018537517858022937
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,SOx,4.499837975407909e-06
2017,July,Inyo (GBV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0005238671647938883
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Inyo (GBV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Inyo (GBV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Inyo (GBV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Inyo (GBV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Inyo (GBV),All Other Buses,NG,RUNEX,CAT,PM,0.0
