calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,CO,6.489355239032484e-05
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0002055259925944948
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,PM,4.1394746726970255e-06
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,PM10,4.114637824660844e-06
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.936640413734872e-06
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,SOx,1.4051612746004257e-07
2017,July,Kern (MD),All Other Buses,Dsl,IDLEX,DSL,TOG,1.6324110264274994e-05
2017,July,Kern (MD),All Other Buses,Dsl,PMBW,DSL,PM,3.331376660170397e-05
2017,July,Kern (MD),All Other Buses,Dsl,PMBW,DSL,PM10,3.331376660170397e-05
2017,July,Kern (MD),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.1659818310596388e-05
2017,July,Kern (MD),All Other Buses,Dsl,PMTW,DSL,PM,8.664687335861992e-06
2017,July,Kern (MD),All Other Buses,Dsl,PMTW,DSL,PM10,8.664687335861992e-06
2017,July,Kern (MD),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.166171833965498e-06
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,CO,0.0024174179042303866
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,NH3,3.0201334361912694e-05
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,NOx,0.007490137679908972
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,PM,0.0004922913292047085
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0004893375812294802
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0004681690540736776
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,SOx,8.877942375858673e-06
2017,July,Kern (MD),All Other Buses,Dsl,RUNEX,DSL,TOG,0.001166867967386377
