calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.0002559301550814539
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0009146369901212929
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,1.5216269582830781e-05
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.5124971965333801e-05
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.4470672373272077e-05
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,6.014968478347999e-07
2017,July,Kern (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,6.0306944354882773e-05
2017,July,Kern (SJV),All Other Buses,Dsl,PMBW,DSL,PM,0.00017623707814776646
2017,July,Kern (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00017623707814776646
2017,July,Kern (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,6.168297735171822e-05
2017,July,Kern (SJV),All Other Buses,Dsl,PMTW,DSL,PM,4.5838082417800365e-05
2017,July,Kern (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,4.5838082417800365e-05
2017,July,Kern (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.1459520604450091e-05
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.01115489074082506
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00026470351993200145
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.034598447389114134
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0020100968989835823
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0019980363175896806
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0019116021509333868
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,4.606732999120011e-05
2017,July,Kern (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.005309330558030015
2017,July,Kern (SJV),All Other Buses,Dsl,STREX,DSL,NOx,0.00016375711173830678
2017,July,Kern (SJV),All Other Buses,NG,IDLEX,CAT,CO,2.714479178084396e-06
2017,July,Kern (SJV),All Other Buses,NG,IDLEX,CAT,NOx,8.7920413114219e-07
