calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,6.744776485982387e-05
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00017374932676975278
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,4.834618149396361e-06
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,4.805610440499982e-06
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.597721860075941e-06
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.0764932063181696e-07
2017,July,Kings (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,1.905086341623948e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMBW,DSL,PM,4.3708754630567774e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,4.3708754630567774e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.5298064120698722e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMTW,DSL,PM,1.1368354027383036e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,1.1368354027383036e-05
2017,July,Kings (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.842088506845759e-06
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0044978223092758075
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,3.8086861516638235e-05
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.011714903314324345
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0009113006528186061
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0009058328489016945
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0008666469208304944
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.1795309524457268e-05
2017,July,Kings (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0021854358425258775
2017,July,Kings (SJV),All Other Buses,Dsl,STREX,DSL,NOx,8.654496144894436e-06
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,CO,6.360843762182635e-07
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,NOx,2.0602405641614124e-07
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,PM,4.4420011538073363e-10
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,PM10,3.9711490315037583e-10
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,PM2_5,3.65132494842963e-10
2017,July,Kings (SJV),All Other Buses,NG,IDLEX,CAT,TOG,6.378318203266594e-07
2017,July,Kings (SJV),All Other Buses,NG,PMBW,CAT,PM,5.764840880074199e-07
2017,July,Kings (SJV),All Other Buses,NG,PMBW,CAT,PM10,5.764840880074199e-07
2017,July,Kings (SJV),All Other Buses,NG,PMBW,CAT,PM2_5,2.017694308025969e-07
2017,July,Kings (SJV),All Other Buses,NG,PMTW,CAT,PM,1.4993964616502864e-07
2017,July,Kings (SJV),All Other Buses,NG,PMTW,CAT,PM10,1.4993964616502864e-07
2017,July,Kings (SJV),All Other Buses,NG,PMTW,CAT,PM2_5,3.748491154125716e-08
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,CO,3.8632767950738833e-05
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,NH3,1.3244664948644089e-05
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,NOx,3.589792973127109e-06
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,PM,8.132270081740568e-09
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,PM10,7.27024945307607e-09
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,PM2_5,6.6847260071907475e-09
2017,July,Kings (SJV),All Other Buses,NG,RUNEX,CAT,TOG,9.302549489240637e-06
2017,July,Kings (SJV),Motor Coach,Dsl,IDLEX,DSL,CO,0.00034052906197687264
2017,July,Kings (SJV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0007676416461020323
2017,July,Kings (SJV),Motor Coach,Dsl,IDLEX,DSL,PM,5.084058607422639e-06
2017,July,Kings (SJV),Motor Coach,Dsl,IDLEX,DSL,PM10,5.053554255778102e-06
2017,July,Kings (SJV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,4.8349397356589305e-06
