calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,CO,2.602900384176473e-05
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,NOx,4.991011568341599e-05
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,PM,2.002261178076839e-06
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,PM10,1.990247611008378e-06
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.904150380351074e-06
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,SOx,3.214348661936762e-08
2017,July,Lake (LC),All Other Buses,Dsl,IDLEX,DSL,TOG,7.939740321369336e-06
2017,July,Lake (LC),All Other Buses,Dsl,PMBW,DSL,PM,2.046188944018031e-05
2017,July,Lake (LC),All Other Buses,Dsl,PMBW,DSL,PM10,2.046188944018031e-05
2017,July,Lake (LC),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.161661304063109e-06
2017,July,Lake (LC),All Other Buses,Dsl,PMTW,DSL,PM,5.322000253524921e-06
2017,July,Lake (LC),All Other Buses,Dsl,PMTW,DSL,PM10,5.322000253524921e-06
2017,July,Lake (LC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.3305000633812302e-06
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0026120694115522184
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,NH3,1.1974497138528925e-05
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0066699386222132465
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0005324358031000691
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0005292411882814687
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0005063464487481657
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,SOx,5.565984994776746e-06
2017,July,Lake (LC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.001279858955974866
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00026655108299230695
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0006008759162305813
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,PM,3.979576133495767e-06
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,PM10,3.955698676694793e-06
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.784576902954474e-06
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,SOx,5.908975823073437e-07
2017,July,Lake (LC),Motor Coach,Dsl,IDLEX,DSL,TOG,4.9139175552789074e-05
2017,July,Lake (LC),Motor Coach,Dsl,PMBW,DSL,PM,5.2005218588804305e-05
2017,July,Lake (LC),Motor Coach,Dsl,PMBW,DSL,PM10,5.2005218588804305e-05
2017,July,Lake (LC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.82018265060815e-05
2017,July,Lake (LC),Motor Coach,Dsl,PMTW,DSL,PM,7.519918739957946e-06
2017,July,Lake (LC),Motor Coach,Dsl,PMTW,DSL,PM10,7.519918739957946e-06
2017,July,Lake (LC),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.8799796849894865e-06
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,CO,0.0006863187327069477
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,NH3,9.264019405697331e-05
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.003954867484375894
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,PM,0.00011819332342469177
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00011748416348414361
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.00011240185057688189
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,SOx,1.013297327533646e-05
2017,July,Lake (LC),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0002220636462867819
2017,July,Lake (LC),Motor Coach,Dsl,STREX,DSL,NOx,0.00012313525931366632
2017,July,Lake (LC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Lake (LC),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Lake (LC),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,CO,0.008014655021736625
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,NH3,0.00014495037695764245
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,NOx,0.02077009711716017
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,PM,0.0010175487180813343
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,PM10,0.0010114434257728461
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,PM2_5,0.0009676888308953491
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,SOx,3.2503097272864165e-05
2017,July,Lake (LC),PTO,Dsl,RUNEX,DSL,TOG,0.0023340539337170065
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,CO,0.0002632367827216926
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,NOx,0.0017691676882752787
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,PM,2.647782100785909e-06
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,PM10,2.631895408181193e-06
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,PM2_5,2.518040777847399e-06
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,SOx,1.6072296845359624e-06
2017,July,Lake (LC),SBUS,Dsl,IDLEX,DSL,TOG,1.7270598675159972e-05
2017,July,Lake (LC),SBUS,Dsl,PMBW,DSL,PM,0.00010527498866263427
2017,July,Lake (LC),SBUS,Dsl,PMBW,DSL,PM10,0.00010527498866263427
2017,July,Lake (LC),SBUS,Dsl,PMBW,DSL,PM2_5,3.6846246031921994e-05
2017,July,Lake (LC),SBUS,Dsl,PMTW,DSL,PM,2.812512840729419e-05
2017,July,Lake (LC),SBUS,Dsl,PMTW,DSL,PM10,2.812512840729419e-05
2017,July,Lake (LC),SBUS,Dsl,PMTW,DSL,PM2_5,7.031282101823547e-06
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,CO,0.000573150821148552
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,NH3,0.00027470947079445983
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,NOx,0.01474450914423077
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,PM,8.827690133282959e-05
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,PM10,8.77472399248326e-05
2017,July,Lake (LC),SBUS,Dsl,RUNEX,DSL,PM2_5,8.395133316752094e-05
