calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,CO,6.097286541775273e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00019394171659495074
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,PM,4.267856801692008e-06
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,PM10,4.242249660881856e-06
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.0587318184091e-06
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,SOx,1.3279895788231732e-07
2017,July,Lassen (NEP),All Other Buses,Dsl,IDLEX,DSL,TOG,1.7103422613063822e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMBW,DSL,PM,3.9890733832402185e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMBW,DSL,PM10,3.9890733832402185e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.3961756841340768e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMTW,DSL,PM,1.0375312416284313e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMTW,DSL,PM10,1.0375312416284313e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.5938281040710783e-06
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,CO,0.0029155348317732605
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,NH3,2.6853076032743905e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,NOx,0.008777297017333477
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,PM,0.0005808810101721296
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0005773957241110969
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0005524178406736953
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,SOx,1.06926703839424e-05
2017,July,Lassen (NEP),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0014006134956068967
2017,July,Lassen (NEP),All Other Buses,Dsl,STREX,DSL,NOx,6.131966630766934e-06
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Lassen (NEP),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Lassen (NEP),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Lassen (NEP),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,CO,0.0002150534426285911
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00048478675429626777
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,PM,3.2107224555360137e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,PM10,3.1914581208027954e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.053397055214748e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,SOx,4.7673623340623643e-07
2017,July,Lassen (NEP),Motor Coach,Dsl,IDLEX,DSL,TOG,3.964549215830045e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,PMBW,DSL,PM,4.195781602545798e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,PMBW,DSL,PM10,4.195781602545798e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.4685235608910289e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,PMTW,DSL,PM,6.067071258988504e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,PMTW,DSL,PM10,6.067071258988504e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.516767814747126e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,CO,0.0005537220283493412
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,NH3,7.474211866195291e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,NOx,0.00322548351660912
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,PM,9.535838622084502e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,PM10,9.478623590352001e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,PM2_5,9.068582529602364e-05
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,SOx,8.175283942926778e-06
2017,July,Lassen (NEP),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00017916097402672984
2017,July,Lassen (NEP),Motor Coach,Dsl,STREX,DSL,NOx,9.93455405511614e-05
2017,July,Lassen (NEP),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Lassen (NEP),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Lassen (NEP),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,CO,0.004632091130805337
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,NH3,3.7695234315447156e-05
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,NOx,0.010513722363191879
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,PM,0.0005941057530066983
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,PM10,0.0005905411184886582
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,PM2_5,0.0005649945711093702
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,SOx,1.318653775004668e-05
2017,July,Lassen (NEP),PTO,Dsl,RUNEX,DSL,TOG,0.0012788181372873884
2017,July,Lassen (NEP),SBUS,Dsl,IDLEX,DSL,CO,9.865772906605009e-05
