calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,CO,0.00011291385344095167
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00044425006938398644
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,PM,6.486866492845047e-06
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,PM10,6.447945293887978e-06
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,PM2_5,6.16901003469564e-06
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,SOx,2.7230825906697454e-07
2017,July,Los Angeles (MD),All Other Buses,Dsl,IDLEX,DSL,TOG,2.4872981275292137e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMBW,DSL,PM,8.098371941115902e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMBW,DSL,PM10,8.098371941115902e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.8344301793905653e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMTW,DSL,PM,2.2476060624131467e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMTW,DSL,PM10,2.2476060624131467e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.619015156032867e-06
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,CO,0.0045513271664066575
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00010040121488944675
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,NOx,0.01776460002745713
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,PM,0.0008951274635177816
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0008897566987366751
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0008512662178054104
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,SOx,2.0052537657514597e-05
2017,July,Los Angeles (MD),All Other Buses,Dsl,RUNEX,DSL,TOG,0.001751578912064803
2017,July,Los Angeles (MD),All Other Buses,Dsl,STREX,DSL,NOx,4.282798033033186e-05
2017,July,Los Angeles (MD),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Los Angeles (MD),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Los Angeles (MD),All Other Buses,NG,IDLEX,CAT,PM,0.0
