calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,CO,0.005062501213150201
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.021013761764990778
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,PM,0.0002560009191974706
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,PM10,0.0002544649136822858
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,0.00024345687415679455
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.417647924514918e-05
2017,July,Los Angeles (SC),All Other Buses,Dsl,IDLEX,DSL,TOG,0.0010027223704657323
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMBW,DSL,PM,0.004416658570874985
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMBW,DSL,PM10,0.004416658570874985
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0015458304998062448
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMTW,DSL,PM,0.00120093850141902
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMTW,DSL,PM10,0.00120093850141902
2017,July,Los Angeles (SC),All Other Buses,Dsl,PMTW,DSL,PM2_5,0.000300234625354755
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,CO,0.19934705977399808
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.007406407886671684
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.7702292663914231
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,PM,0.037574629702233346
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.037349181924019946
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.035733472846823905
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0010846153353414266
2017,July,Los Angeles (SC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0772048289303014
2017,July,Los Angeles (SC),All Other Buses,Dsl,STREX,DSL,NOx,0.004584910071295799
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,CO,0.001111644027307431
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,NOx,0.00036005508130585774
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,PM,7.763001633966029e-07
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,PM10,6.94012346076563e-07
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,PM2_5,6.381187343120076e-07
2017,July,Los Angeles (SC),All Other Buses,NG,IDLEX,CAT,TOG,0.001114697923738123
2017,July,Los Angeles (SC),All Other Buses,NG,PMBW,CAT,PM,0.0006491479983004061
2017,July,Los Angeles (SC),All Other Buses,NG,PMBW,CAT,PM10,0.0006491479983004061
2017,July,Los Angeles (SC),All Other Buses,NG,PMBW,CAT,PM2_5,0.00022720179940514208
2017,July,Los Angeles (SC),All Other Buses,NG,PMTW,CAT,PM,0.00017651054791034072
2017,July,Los Angeles (SC),All Other Buses,NG,PMTW,CAT,PM10,0.00017651054791034072
2017,July,Los Angeles (SC),All Other Buses,NG,PMTW,CAT,PM2_5,4.412763697758518e-05
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,CO,0.03973321815819622
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,NH3,0.015591760596800175
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,NOx,0.0025711650381371265
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,PM,9.153525672660166e-06
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,PM10,8.18325195135819e-06
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,PM2_5,7.5241981029266574e-06
2017,July,Los Angeles (SC),All Other Buses,NG,RUNEX,CAT,TOG,0.0076357923942634645
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,CO,0.03945662457757752
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0889455603716389
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,PM,0.0005890827368417105
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,PM10,0.0005855482404206601
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,0.0005602176827364665
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,SOx,8.746850249928248e-05
2017,July,Los Angeles (SC),Motor Coach,Dsl,IDLEX,DSL,TOG,0.007273900297355131
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMBW,DSL,PM,0.009298170127808574
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMBW,DSL,PM10,0.009298170127808574
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.003254359544733001
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMTW,DSL,PM,0.0011131472711278549
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMTW,DSL,PM10,0.0011131472711278549
2017,July,Los Angeles (SC),Motor Coach,Dsl,PMTW,DSL,PM2_5,0.0002782868177819637
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,CO,0.12617444262700236
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,NH3,0.013713203929096102
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.5600513485820559
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,PM,0.016505437135192542
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.016406404512381383
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.015696670715568104
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,SOx,0.0015413297682506694
2017,July,Los Angeles (SC),Motor Coach,Dsl,RUNEX,DSL,TOG,0.03953549965640125
2017,July,Los Angeles (SC),Motor Coach,Dsl,STREX,DSL,NOx,0.018227281782014767
2017,July,Los Angeles (SC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Los Angeles (SC),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Los Angeles (SC),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,CO,0.23931977391958198
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,NH3,0.014348993948029479
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,NOx,0.9565851455069574
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,PM,0.02589774620842913
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,PM10,0.02574235973117855
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,PM2_5,0.0246287566442161
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,SOx,0.0023919094708613484
2017,July,Los Angeles (SC),PTO,Dsl,RUNEX,DSL,TOG,0.07740478011909636
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,CO,0.004255273085287672
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,NOx,0.08601334937796497
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,PM,0.00014875836774756743
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,PM10,0.00014786581754108207
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,PM2_5,0.0001414692077279366
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,SOx,5.33495910821816e-05
2017,July,Los Angeles (SC),SBUS,Dsl,IDLEX,DSL,TOG,0.0006039581237716627
2017,July,Los Angeles (SC),SBUS,Dsl,PMBW,DSL,PM,0.0022196005203212596
2017,July,Los Angeles (SC),SBUS,Dsl,PMBW,DSL,PM10,0.0022196005203212596
2017,July,Los Angeles (SC),SBUS,Dsl,PMBW,DSL,PM2_5,0.0007768601821124406
2017,July,Los Angeles (SC),SBUS,Dsl,PMTW,DSL,PM,0.0005685814809404078
2017,July,Los Angeles (SC),SBUS,Dsl,PMTW,DSL,PM10,0.0005685814809404078
2017,July,Los Angeles (SC),SBUS,Dsl,PMTW,DSL,PM2_5,0.00014214537023510195
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,CO,0.02043430483134649
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,NH3,0.0022208857380487898
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,NOx,0.4875968990498667
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,PM,0.003670806259337123
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,PM10,0.0036487814217811016
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,PM2_5,0.0034909367526296036
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,SOx,0.0005825959068139204
2017,July,Los Angeles (SC),SBUS,Dsl,RUNEX,DSL,TOG,0.010219440714230144
2017,July,Los Angeles (SC),SBUS,Dsl,STREX,DSL,NOx,0.0024950397434847123
2017,July,Los Angeles (SC),SBUS,Gas,DIURN,CAT,TOG,0.003302873584756127
2017,July,Los Angeles (SC),SBUS,Gas,DIURN,NCAT,TOG,0.000570447374562063
2017,July,Los Angeles (SC),SBUS,Gas,HOTSOAK,CAT,TOG,0.000905057125971848
2017,July,Los Angeles (SC),SBUS,Gas,HOTSOAK,NCAT,TOG,0.0003466157970257559
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,CAT,CO,0.0948137952520748
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,CAT,NOx,0.0010684042780029898
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,CAT,SOx,3.1290329381460644e-05
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,CAT,TOG,0.017840993950832013
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,NCAT,CO,0.0019758574529744524
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,NCAT,NOx,2.234342368710041e-05
2017,July,Los Angeles (SC),SBUS,Gas,IDLEX,NCAT,SOx,7.280471154407312e-07
