calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,5.6993470085560194e-05
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00020986298254739417
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,3.4835061316371078e-06
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,3.4626050948472855e-06
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.3128143311868888e-06
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.390444339306548e-07
2017,July,Madera (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,1.3652359758113695e-05
2017,July,Madera (SJV),All Other Buses,Dsl,PMBW,DSL,PM,2.67104132097645e-05
2017,July,Madera (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,2.67104132097645e-05
2017,July,Madera (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.348644623417575e-06
2017,July,Madera (SJV),All Other Buses,Dsl,PMTW,DSL,PM,6.9471993918108775e-06
2017,July,Madera (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,6.9471993918108775e-06
2017,July,Madera (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.7367998479527194e-06
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0019575095753188807
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,2.5170189381762474e-05
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.006283577883934172
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.00034123502120844056
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00033918761108118995
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00032451450516922696
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,7.08196323250398e-06
2017,July,Madera (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0009350776307070985
2017,July,Madera (SJV),All Other Buses,Dsl,STREX,DSL,NOx,1.2092245842255672e-05
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,CO,1.046911205431247e-05
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,NOx,1.3841228141973241e-06
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,PM,6.3806522716828426e-09
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,PM10,5.7043031308844616e-09
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,PM2_5,5.244896167323297e-09
2017,July,Madera (SJV),All Other Buses,NG,IDLEX,CAT,TOG,3.2495712845935827e-06
2017,July,Madera (SJV),All Other Buses,NG,PMBW,CAT,PM,8.341656285242909e-07
2017,July,Madera (SJV),All Other Buses,NG,PMBW,CAT,PM10,8.341656285242909e-07
2017,July,Madera (SJV),All Other Buses,NG,PMBW,CAT,PM2_5,2.9195796998350183e-07
2017,July,Madera (SJV),All Other Buses,NG,PMTW,CAT,PM,2.1696088718818393e-07
2017,July,Madera (SJV),All Other Buses,NG,PMTW,CAT,PM10,2.1696088718818393e-07
2017,July,Madera (SJV),All Other Buses,NG,PMTW,CAT,PM2_5,5.424022179704598e-08
2017,July,Madera (SJV),All Other Buses,NG,RUNEX,CAT,CO,6.236454383753298e-05
2017,July,Madera (SJV),All Other Buses,NG,RUNEX,CAT,NH3,1.9164872875618985e-05
