calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,CO,5.793603861003783e-05
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00020490475054060504
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,PM,2.8340521982650422e-06
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,2.8170478850754506e-06
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.695183640550055e-06
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,1.56257249244569e-07
2017,July,Marin (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,1.1668285063596501e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMBW,DSL,PM,7.204810397960078e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMBW,DSL,PM10,7.204810397960078e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.5216836392860275e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMTW,DSL,PM,1.873922878756628e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMTW,DSL,PM10,1.873922878756628e-05
2017,July,Marin (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,4.68480719689157e-06
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.002790653016798652
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00016842977746547475
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.01021440153987601
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.0005237801789383298
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0005206374978646998
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0004981149501703516
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,1.826511450684719e-05
2017,July,Marin (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0013109059755621031
2017,July,Marin (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.00010952004958819094
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,CO,1.8524309367615435e-07
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,NOx,5.999916836369666e-08
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,PM,1.2936177441370896e-10
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,PM10,1.1564942632585581e-10
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,1.0633537856806877e-10
2017,July,Marin (SF),All Other Buses,NG,IDLEX,CAT,TOG,1.857519914965818e-07
2017,July,Marin (SF),All Other Buses,NG,PMBW,CAT,PM,1.6079683467312002e-07
2017,July,Marin (SF),All Other Buses,NG,PMBW,CAT,PM10,1.6079683467312002e-07
2017,July,Marin (SF),All Other Buses,NG,PMBW,CAT,PM2_5,5.627889213559199e-08
2017,July,Marin (SF),All Other Buses,NG,PMTW,CAT,PM,4.1822178611517725e-08
2017,July,Marin (SF),All Other Buses,NG,PMTW,CAT,PM10,4.1822178611517725e-08
