calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,CO,9.707324922582008e-06
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,2.268909333476565e-05
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,PM,7.833025724374083e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,7.786027570027839e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,7.449207463879755e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.3630210283630054e-08
2017,July,Mariposa (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,3.146390889773271e-06
2017,July,Mariposa (MC),All Other Buses,Dsl,PMBW,DSL,PM,2.119485878600812e-06
2017,July,Mariposa (MC),All Other Buses,Dsl,PMBW,DSL,PM10,2.119485878600812e-06
2017,July,Mariposa (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.41820057510284e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,PMTW,DSL,PM,5.512640666069698e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,PMTW,DSL,PM10,5.512640666069698e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.3781601665174246e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.00024258340984200603
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,1.2403437943819835e-06
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0006871494759655946
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,PM,4.884860984956236e-05
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,4.8555518190464976e-05
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,4.6455027966933804e-05
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,5.803310127318913e-07
2017,July,Mariposa (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00011851402952567518
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,CO,9.375086929950224e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00021133900059741175
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,PM,1.3996893870040974e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,1.3912912506820728e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.3311046070408966e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,2.078294388692709e-07
2017,July,Mariposa (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,1.7283142777055553e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,PMBW,DSL,PM,1.8291182329363042e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,PMBW,DSL,PM10,1.8291182329363042e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,PMBW,DSL,PM2_5,6.401913815277063e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,PMTW,DSL,PM,2.644892349403107e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,PMTW,DSL,PM10,2.644892349403107e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,PMTW,DSL,PM2_5,6.612230873507768e-07
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,CO,0.00024139079532111993
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,NH3,3.258324311492202e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.001374533491271571
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,PM,4.1570744004906976e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,PM10,4.132131954087757e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,3.953377754866653e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,SOx,3.5639512100357362e-06
2017,July,Mariposa (MC),Motor Coach,Dsl,RUNEX,DSL,TOG,7.81038279075542e-05
2017,July,Mariposa (MC),Motor Coach,Dsl,STREX,DSL,NOx,4.330891277004871e-05
2017,July,Mariposa (MC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Mariposa (MC),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Mariposa (MC),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,CO,0.0021982569733334737
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,NH3,2.5408577912327495e-05
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,NOx,0.004651919251617789
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,PM,0.0002809752459889883
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,PM10,0.00027928939451305433
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,PM2_5,0.00026720745893552786
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,SOx,6.468817455955122e-06
2017,July,Mariposa (MC),PTO,Dsl,RUNEX,DSL,TOG,0.0005783863276222068
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,CO,0.00016143123289583052
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,NOx,0.0005992221750123464
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,PM,2.989160567705296e-07
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,PM10,2.971225604299064e-07
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,PM2_5,2.8426916998877363e-07
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,SOx,7.295546083145058e-07
2017,July,Mariposa (MC),SBUS,Dsl,IDLEX,DSL,TOG,6.7643322001322935e-06
2017,July,Mariposa (MC),SBUS,Dsl,PMBW,DSL,PM,4.34274273065063e-05
2017,July,Mariposa (MC),SBUS,Dsl,PMBW,DSL,PM10,4.34274273065063e-05
