calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,CO,6.252112219235574e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00015166153939951557
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,PM,4.971414743967392e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,PM10,4.9415862555035866e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.727815421512991e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,SOx,9.043099308861543e-08
2017,July,Mendocino (NC),All Other Buses,Dsl,IDLEX,DSL,TOG,1.990787029544073e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,PMBW,DSL,PM,3.121855805895652e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,PMBW,DSL,PM10,3.121855805895652e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.092649532063478e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,PMTW,DSL,PM,8.119737641539372e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,PMTW,DSL,PM10,8.119737641539372e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.029934410384843e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0034572525193130362
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,NH3,1.8269404457435077e-05
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.008813065800841634
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0007021204049227752
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0006979076824932386
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0006677165050815591
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,SOx,8.495585688826997e-06
2017,July,Mendocino (NC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.001668617899544414
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00022730940270725023
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0005124148965603237
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,PM,3.3937024895113994e-06
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,PM10,3.373340274574331e-06
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.227411067525342e-06
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,SOx,5.039055740745838e-07
2017,July,Mendocino (NC),Motor Coach,Dsl,IDLEX,DSL,TOG,4.190490062557195e-05
2017,July,Mendocino (NC),Motor Coach,Dsl,PMBW,DSL,PM,4.434900448975948e-05
2017,July,Mendocino (NC),Motor Coach,Dsl,PMBW,DSL,PM10,4.434900448975948e-05
2017,July,Mendocino (NC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.5522151571415817e-05
2017,July,Mendocino (NC),Motor Coach,Dsl,PMTW,DSL,PM,6.41283546172456e-06
2017,July,Mendocino (NC),Motor Coach,Dsl,PMTW,DSL,PM10,6.41283546172456e-06
