calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00012386212777932044
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.000593439815513346
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,6.365002859283037e-06
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,6.326812842127339e-06
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,6.053117719178168e-06
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,3.5137628190786243e-07
2017,July,Merced (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,2.364026683223435e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMBW,DSL,PM,5.894623169820043e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,5.894623169820043e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.063118109437015e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMTW,DSL,PM,1.5331519650679776e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,1.5331519650679776e-05
2017,July,Merced (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.832879912669944e-06
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0042106831717436165
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,5.35848736449726e-05
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.014741424596814075
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0007040309825103927
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0006998067966153303
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0006695334643673832
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.5409355417371936e-05
2017,July,Merced (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0020043781166035933
2017,July,Merced (SJV),All Other Buses,Dsl,STREX,DSL,NOx,2.9466146247170318e-05
2017,July,Merced (SJV),All Other Buses,NG,IDLEX,CAT,CO,2.3014790581397372e-05
2017,July,Merced (SJV),All Other Buses,NG,IDLEX,CAT,NOx,3.042788781171166e-06
2017,July,Merced (SJV),All Other Buses,NG,IDLEX,CAT,PM,1.4026917950983945e-08
