calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,CO,1.973854517144288e-05
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,NOx,4.778855061532236e-05
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,PM,1.598374291897763e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,PM10,1.5887840461463763e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.5200539515947726e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,SOx,2.831992738627518e-08
2017,July,Modoc (NEP),All Other Buses,Dsl,IDLEX,DSL,TOG,6.426706933277897e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,PMBW,DSL,PM,2.5861008865429775e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,PMBW,DSL,PM10,2.5861008865429775e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.051353102900421e-07
2017,July,Modoc (NEP),All Other Buses,Dsl,PMTW,DSL,PM,6.726275016810699e-07
2017,July,Modoc (NEP),All Other Buses,Dsl,PMTW,DSL,PM10,6.726275016810699e-07
2017,July,Modoc (NEP),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.6815687542026748e-07
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,CO,0.0002825516633280461
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,NH3,1.5134114450372634e-06
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0007606579498815004
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,PM,5.758086296182266e-05
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,PM10,5.723537778405173e-05
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,PM2_5,5.4759400676693364e-05
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,SOx,7.061314484835379e-07
2017,July,Modoc (NEP),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00013705169277742778
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,CO,0.00013233398139701004
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00029831543517932027
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,PM,1.975730685863369e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,PM10,1.9638763017481887e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.8789198822560642e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,SOx,2.9336151549928253e-07
2017,July,Modoc (NEP),Motor Coach,Dsl,IDLEX,DSL,TOG,2.4396009464553122e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,PMBW,DSL,PM,2.5818907031954525e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,PMBW,DSL,PM10,2.5818907031954525e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,PMBW,DSL,PM2_5,9.036617461184082e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,PMTW,DSL,PM,3.7333961495284397e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,PMTW,DSL,PM10,3.7333961495284397e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,PMTW,DSL,PM2_5,9.333490373821099e-07
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,CO,0.0003407350268856347
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,NH3,4.599285653794255e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0019877989278649496
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,PM,5.8679157825072705e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,PM10,5.832708287812225e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,PM2_5,5.5803879091644125e-05
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,SOx,5.030693112200743e-06
2017,July,Modoc (NEP),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0001102474096684127
2017,July,Modoc (NEP),Motor Coach,Dsl,STREX,DSL,NOx,6.113266895186846e-05
2017,July,Modoc (NEP),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Modoc (NEP),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Modoc (NEP),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,CO,0.0018739860187293672
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,NH3,2.150913364316941e-05
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,NOx,0.004325993030335425
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,PM,0.00024095239581723568
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,PM10,0.00023950668144233228
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,PM2_5,0.00022914572842219115
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,SOx,5.878684661066812e-06
2017,July,Modoc (NEP),PTO,Dsl,RUNEX,DSL,TOG,0.0005049327253971391
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,CO,4.730922114005778e-05
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,NOx,0.0005486525968176379
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,PM,7.521791070774219e-07
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,PM10,7.476660324349573e-07
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,PM2_5,7.15322330830628e-07
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,SOx,4.247132355852342e-07
2017,July,Modoc (NEP),SBUS,Dsl,IDLEX,DSL,TOG,4.465466761152119e-06
2017,July,Modoc (NEP),SBUS,Dsl,PMBW,DSL,PM,2.3872092910846315e-05
2017,July,Modoc (NEP),SBUS,Dsl,PMBW,DSL,PM10,2.3872092910846315e-05
2017,July,Modoc (NEP),SBUS,Dsl,PMBW,DSL,PM2_5,8.355232518796208e-06
2017,July,Modoc (NEP),SBUS,Dsl,PMTW,DSL,PM,6.377637148173971e-06
2017,July,Modoc (NEP),SBUS,Dsl,PMTW,DSL,PM10,6.377637148173971e-06
2017,July,Modoc (NEP),SBUS,Dsl,PMTW,DSL,PM2_5,1.5944092870434927e-06
2017,July,Modoc (NEP),SBUS,Dsl,RUNEX,DSL,CO,0.00017143593298362867
