calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,CO,3.258894642980117e-05
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00013291807857736872
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,PM,1.208583419457368e-06
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.2013319189406235e-06
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.1493628319039569e-06
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.0449683229851658e-07
2017,July,Mono (GBV),All Other Buses,Dsl,IDLEX,DSL,TOG,5.098448792475338e-06
2017,July,Mono (GBV),All Other Buses,Dsl,PMBW,DSL,PM,4.1698722188833176e-05
2017,July,Mono (GBV),All Other Buses,Dsl,PMBW,DSL,PM10,4.1698722188833176e-05
2017,July,Mono (GBV),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.459455276609161e-05
2017,July,Mono (GBV),All Other Buses,Dsl,PMTW,DSL,PM,1.0845558065857667e-05
2017,July,Mono (GBV),All Other Buses,Dsl,PMTW,DSL,PM10,1.0845558065857667e-05
2017,July,Mono (GBV),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.711389516464417e-06
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0013134222036671006
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0001149676635352181
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.004866528846865068
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,PM,0.00021085026283799025
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0002095851612609623
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00020051859995892874
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.0374006724018915e-05
2017,July,Mono (GBV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0005976076766860122
2017,July,Mono (GBV),All Other Buses,Dsl,STREX,DSL,NOx,9.594510764811173e-05
2017,July,Mono (GBV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Mono (GBV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Mono (GBV),All Other Buses,NG,IDLEX,CAT,PM,0.0
