calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0002458494929668676
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0008540887071747489
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,PM,1.5238230475889684e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,PM10,1.514680109303435e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.4491557182571099e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,SOx,5.547481661353108e-07
2017,July,Monterey (NCC),All Other Buses,Dsl,IDLEX,DSL,TOG,5.983629264533396e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,PMBW,DSL,PM,0.00019889647198228748
2017,July,Monterey (NCC),All Other Buses,Dsl,PMBW,DSL,PM10,0.00019889647198228748
2017,July,Monterey (NCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,6.961376519380063e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,PMTW,DSL,PM,5.173163883078917e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,PMTW,DSL,PM10,5.173163883078917e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.2932909707697292e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.01486566253359715
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00021629403732007475
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.04532875394133772
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0027880499110740768
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0027713216116076315
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.002651435465431447
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,SOx,5.233068271347441e-05
2017,July,Monterey (NCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.007119679533335664
2017,July,Monterey (NCC),All Other Buses,Dsl,STREX,DSL,NOx,8.114714011042196e-05
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Monterey (NCC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Monterey (NCC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Monterey (NCC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,CO,0.003694970752163713
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.008329431309103519
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,PM,5.516547617891322e-05
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,PM10,5.483448332183973e-05
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,5.2462367846146454e-05
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,SOx,8.191110160347385e-06
2017,July,Monterey (NCC),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0006811745591678355
2017,July,Monterey (NCC),Motor Coach,Dsl,PMBW,DSL,PM,0.0007209040741450025
