calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.00018980818985823669
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0007993650582202613
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,PM,9.212442784506722e-06
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,9.15716812779968e-06
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.761033088065892e-06
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,5.546459446067645e-07
2017,July,Napa (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,3.657117769745457e-05
2017,July,Napa (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.00012666939376971789
2017,July,Napa (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.00012666939376971789
2017,July,Napa (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.433428781940126e-05
2017,July,Napa (SF),All Other Buses,Dsl,PMTW,DSL,PM,3.294586004518781e-05
2017,July,Napa (SF),All Other Buses,Dsl,PMTW,DSL,PM10,3.294586004518781e-05
2017,July,Napa (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,8.236465011296952e-06
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.006228429804702707
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0002242998124833027
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.022995215536841064
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.0010531002310229009
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0010467816296367634
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0010014983197027788
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,3.245591081336333e-05
2017,July,Napa (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.002936182413225817
2017,July,Napa (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.00021594484584342956
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,CO,2.2489126376980162e-07
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,NOx,7.284098171043329e-08
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,PM,1.5704948753589047e-10
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,PM10,1.4040224185708606e-10
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,1.2909467875450193e-10
2017,July,Napa (SF),All Other Buses,NG,IDLEX,CAT,TOG,2.2550908261364844e-07
2017,July,Napa (SF),All Other Buses,NG,PMBW,CAT,PM,1.0617318716879578e-07
2017,July,Napa (SF),All Other Buses,NG,PMBW,CAT,PM10,1.0617318716879578e-07
2017,July,Napa (SF),All Other Buses,NG,PMBW,CAT,PM2_5,3.716061550907852e-08
