calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0001437958698428245
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0006112181913869758
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,PM,6.831726035756688e-06
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,6.790735679542146e-06
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,6.4969714600046104e-06
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,4.183640010332627e-07
2017,July,Nevada (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,2.682182651139529e-05
2017,July,Nevada (MC),All Other Buses,Dsl,PMBW,DSL,PM,0.00014234379674508434
2017,July,Nevada (MC),All Other Buses,Dsl,PMBW,DSL,PM10,0.00014234379674508434
2017,July,Nevada (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.982032886077951e-05
2017,July,Nevada (MC),All Other Buses,Dsl,PMTW,DSL,PM,3.7022667167649555e-05
2017,July,Nevada (MC),All Other Buses,Dsl,PMTW,DSL,PM10,3.7022667167649555e-05
2017,July,Nevada (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,9.255666791912389e-06
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.007519802197275174
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00025038776602604194
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.026550456328795224
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0012348457951440706
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0012274367203732063
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0011743383511820115
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,3.6773902847752935e-05
2017,July,Nevada (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0035489931912515782
2017,July,Nevada (MC),All Other Buses,Dsl,STREX,DSL,NOx,0.0001479047341088033
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Nevada (MC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Nevada (MC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Nevada (MC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Nevada (MC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Nevada (MC),All Other Buses,NG,PMTW,CAT,PM,0.0
