calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0010533418644915556
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.004216195267908588
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,PM,4.8689847359034455e-05
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,PM10,4.839770827488025e-05
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.630404483844178e-05
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.9564282941216163e-06
2017,July,Orange (SC),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00019226151329984243
2017,July,Orange (SC),All Other Buses,Dsl,PMBW,DSL,PM,0.0010313762220692888
2017,July,Orange (SC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0010313762220692888
2017,July,Orange (SC),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.00036098167772425114
2017,July,Orange (SC),All Other Buses,Dsl,PMTW,DSL,PM,0.00028602105627128696
2017,July,Orange (SC),All Other Buses,Dsl,PMTW,DSL,PM10,0.00028602105627128696
2017,July,Orange (SC),All Other Buses,Dsl,PMTW,DSL,PM2_5,7.150526406782174e-05
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,CO,0.03987721388274706
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.002205374259151625
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.1597564733550426
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,PM,0.007618519643609697
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.007572808525748039
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.007245212181072822
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0002538267275433568
2017,July,Orange (SC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.014924313998616287
2017,July,Orange (SC),All Other Buses,Dsl,STREX,DSL,NOx,0.0014066051242778816
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,CO,0.0002524098186656272
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,NOx,8.175408273651925e-05
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,PM,1.7626666330195956e-07
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,PM10,1.5758239699195184e-07
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,PM2_5,1.4489119723421075e-07
2017,July,Orange (SC),All Other Buses,NG,IDLEX,CAT,TOG,0.0002531032361854078
2017,July,Orange (SC),All Other Buses,NG,PMBW,CAT,PM,0.00016338615198508428
2017,July,Orange (SC),All Other Buses,NG,PMBW,CAT,PM10,0.00016338615198508428
2017,July,Orange (SC),All Other Buses,NG,PMBW,CAT,PM2_5,5.7185153194779496e-05
2017,July,Orange (SC),All Other Buses,NG,PMTW,CAT,PM,4.531021636034512e-05
2017,July,Orange (SC),All Other Buses,NG,PMTW,CAT,PM10,4.531021636034512e-05
2017,July,Orange (SC),All Other Buses,NG,PMTW,CAT,PM2_5,1.132755409008628e-05
2017,July,Orange (SC),All Other Buses,NG,RUNEX,CAT,CO,0.009677046734612092
2017,July,Orange (SC),All Other Buses,NG,RUNEX,CAT,NH3,0.004002401298071841
2017,July,Orange (SC),All Other Buses,NG,RUNEX,CAT,NOx,0.000579048479340004
2017,July,Orange (SC),All Other Buses,NG,RUNEX,CAT,PM,2.412337552908016e-06
