calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,CO,5.07342961082424e-05
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00022257760323582014
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,PM,1.6637732351511988e-06
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,PM10,1.6537905957402916e-06
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.5822483466287901e-06
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,SOx,1.5331543581340345e-07
2017,July,Placer (LT),All Other Buses,Dsl,IDLEX,DSL,TOG,6.2643695498045814e-06
2017,July,Placer (LT),All Other Buses,Dsl,PMBW,DSL,PM,6.0267607982315545e-05
2017,July,Placer (LT),All Other Buses,Dsl,PMBW,DSL,PM10,6.0267607982315545e-05
2017,July,Placer (LT),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.109366279381044e-05
2017,July,Placer (LT),All Other Buses,Dsl,PMTW,DSL,PM,1.5675200762808807e-05
2017,July,Placer (LT),All Other Buses,Dsl,PMTW,DSL,PM10,1.5675200762808807e-05
2017,July,Placer (LT),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.918800190702202e-06
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,CO,0.002527469922899919
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00014765787512278813
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,NOx,0.009760045214983387
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,PM,0.00040567422813931594
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0004032401827704801
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00038579619096048944
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,SOx,1.542416518627808e-05
2017,July,Placer (LT),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0011778993826007983
2017,July,Placer (LT),All Other Buses,Dsl,STREX,DSL,NOx,8.490025025979096e-05
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Placer (LT),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Placer (LT),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Placer (LT),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Placer (LT),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Placer (LT),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Placer (LT),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Placer (LT),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Placer (LT),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Placer (LT),Motor Coach,Dsl,IDLEX,DSL,CO,0.000587858648416815
2017,July,Placer (LT),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0013251872774860188
2017,July,Placer (LT),Motor Coach,Dsl,IDLEX,DSL,PM,8.776660071481147e-06
2017,July,Placer (LT),Motor Coach,Dsl,IDLEX,DSL,PM10,8.724000111052264e-06
