calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,CO,4.29862336900695e-06
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,2.1083993332332697e-05
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,PM,2.0521783988312235e-07
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,2.0398653284382363e-07
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.9516216572884938e-07
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.2203158075758158e-08
2017,July,Placer (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,7.266833500931238e-07
2017,July,Placer (MC),All Other Buses,Dsl,PMBW,DSL,PM,7.996019479477567e-06
2017,July,Placer (MC),All Other Buses,Dsl,PMBW,DSL,PM10,7.996019479477567e-06
2017,July,Placer (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.7986068178171473e-06
2017,July,Placer (MC),All Other Buses,Dsl,PMTW,DSL,PM,2.079711056077078e-06
2017,July,Placer (MC),All Other Buses,Dsl,PMTW,DSL,PM10,2.079711056077078e-06
2017,July,Placer (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.199277640192695e-07
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0006344815181063674
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,4.679348535067732e-06
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0025673780859592483
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,PM,9.304417923350251e-05
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,9.248591415810149e-05
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,8.848501445106089e-05
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,2.0577276625150964e-06
2017,July,Placer (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00029951244143508503
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,CO,2.0087336064833855e-05
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,4.528211375879873e-05
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,PM,2.9990155092121227e-07
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,2.981021416156851e-07
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,2.8520637492607295e-07
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,4.453014477546879e-08
2017,July,Placer (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,3.7031368328982945e-06
2017,July,Placer (MC),Motor Coach,Dsl,PMBW,DSL,PM,3.919122322408518e-06
2017,July,Placer (MC),Motor Coach,Dsl,PMBW,DSL,PM10,3.919122322408518e-06
2017,July,Placer (MC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.3716928128429815e-06
2017,July,Placer (MC),Motor Coach,Dsl,PMTW,DSL,PM,5.667023848028196e-07
2017,July,Placer (MC),Motor Coach,Dsl,PMTW,DSL,PM10,5.667023848028196e-07
2017,July,Placer (MC),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.416755962007049e-07
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,CO,5.1721099124809396e-05
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,NH3,6.9813811446819394e-06
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.00030002080247930026
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,PM,8.907069420396218e-06
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,PM10,8.853627003873839e-06
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,8.4706230187968e-06
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,SOx,7.63622629293003e-07
2017,July,Placer (MC),Motor Coach,Dsl,RUNEX,DSL,TOG,1.6734755026014152e-05
2017,July,Placer (MC),Motor Coach,Dsl,STREX,DSL,NOx,9.279494600048064e-06
