calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00021879396387321554
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0007924277566960501
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,PM,1.1702994101749216e-05
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.1632776137138724e-05
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.1129547390763506e-05
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,5.863299395900587e-07
2017,July,Placer (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,4.766745886202242e-05
2017,July,Placer (SV),All Other Buses,Dsl,PMBW,DSL,PM,0.00021657269184952802
2017,July,Placer (SV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00021657269184952802
2017,July,Placer (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.580044214733479e-05
2017,July,Placer (SV),All Other Buses,Dsl,PMTW,DSL,PM,5.6329105105339975e-05
2017,July,Placer (SV),All Other Buses,Dsl,PMTW,DSL,PM10,5.6329105105339975e-05
2017,July,Placer (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.4082276276334994e-05
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.009668179265743537
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00039855933310373865
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.03456464640840706
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0018152578772932762
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0018043663300295167
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.001726310241305906
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,5.674476994880682e-05
2017,July,Placer (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.004584696379051895
2017,July,Placer (SV),All Other Buses,Dsl,STREX,DSL,NOx,0.00023056857460134798
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Placer (SV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Placer (SV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Placer (SV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Placer (SV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Placer (SV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Placer (SV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Placer (SV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Placer (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.0007865611401906504
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0017731147083618062
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,PM,1.1743264765231787e-05
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,1.1672805176640398e-05
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.1167844791735428e-05
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,1.7436698093962602e-06
2017,July,Placer (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,0.00014500397266045185
2017,July,Placer (SV),Motor Coach,Dsl,PMBW,DSL,PM,0.00015346133123467605
2017,July,Placer (SV),Motor Coach,Dsl,PMBW,DSL,PM10,0.00015346133123467605
2017,July,Placer (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,5.371146593213661e-05
2017,July,Placer (SV),Motor Coach,Dsl,PMTW,DSL,PM,2.2190402654301526e-05
2017,July,Placer (SV),Motor Coach,Dsl,PMTW,DSL,PM10,2.2190402654301526e-05
2017,July,Placer (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,5.5476006635753814e-06
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.00202524648930479
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00027337040188659875
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.011650089059752662
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,PM,0.00034877470469297475
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00034668205646481715
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.00033168474416301897
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,2.9901221654191702e-05
2017,July,Placer (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0006552839061680659
2017,July,Placer (SV),Motor Coach,Dsl,STREX,DSL,NOx,0.00036335778071561626
2017,July,Placer (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Placer (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Placer (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,CO,0.01571403549952908
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,NH3,0.0009586464948850916
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,NOx,0.06523517050363592
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,PM,0.001740433960873199
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,PM10,0.001729991357107959
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.0016551526967904118
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,SOx,0.00015575594327491723
2017,July,Placer (SV),PTO,Dsl,RUNEX,DSL,TOG,0.004981105732384696
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,CO,0.0006711628379640575
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.011947512200732927
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,PM,1.637729661962927e-05
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,PM10,1.6279032839911496e-05
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,1.5574809085267436e-05
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,SOx,8.089852725261335e-06
2017,July,Placer (SV),SBUS,Dsl,IDLEX,DSL,TOG,7.975955723402309e-05
2017,July,Placer (SV),SBUS,Dsl,PMBW,DSL,PM,0.000350757577741811
2017,July,Placer (SV),SBUS,Dsl,PMBW,DSL,PM10,0.000350757577741811
2017,July,Placer (SV),SBUS,Dsl,PMBW,DSL,PM2_5,0.00012276515220963383
2017,July,Placer (SV),SBUS,Dsl,PMTW,DSL,PM,9.370793613128523e-05
2017,July,Placer (SV),SBUS,Dsl,PMTW,DSL,PM10,9.370793613128523e-05
2017,July,Placer (SV),SBUS,Dsl,PMTW,DSL,PM2_5,2.3426984032821308e-05
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,CO,0.0024489353071902946
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,NH3,0.00040744044060876124
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,NOx,0.06290401682810551
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,PM,0.00041196687663166493
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,PM10,0.00040949507537187504
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,PM2_5,0.0003917804996767133
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,SOx,8.827514330075251e-05
2017,July,Placer (SV),SBUS,Dsl,RUNEX,DSL,TOG,0.0009928252700802697
2017,July,Placer (SV),SBUS,Dsl,STREX,DSL,NOx,0.0006272986335203995
2017,July,Placer (SV),SBUS,Gas,DIURN,CAT,TOG,0.0002904147353488465
2017,July,Placer (SV),SBUS,Gas,HOTSOAK,CAT,TOG,5.689685316343115e-05
2017,July,Placer (SV),SBUS,Gas,IDLEX,CAT,CO,0.0017800940539540932
2017,July,Placer (SV),SBUS,Gas,IDLEX,CAT,NOx,2.007502723423278e-05
2017,July,Placer (SV),SBUS,Gas,IDLEX,CAT,SOx,6.188899695955508e-07
2017,July,Placer (SV),SBUS,Gas,IDLEX,CAT,TOG,0.0003300696175230805
2017,July,Placer (SV),SBUS,Gas,PMBW,CAT,PM,4.308112712780663e-05
2017,July,Placer (SV),SBUS,Gas,PMBW,CAT,PM10,4.308112712780663e-05
2017,July,Placer (SV),SBUS,Gas,PMBW,CAT,PM2_5,1.5078394494732317e-05
2017,July,Placer (SV),SBUS,Gas,PMTW,CAT,PM,7.4443996325760245e-06
2017,July,Placer (SV),SBUS,Gas,PMTW,CAT,PM10,7.4443996325760245e-06
2017,July,Placer (SV),SBUS,Gas,PMTW,CAT,PM2_5,1.8610999081440061e-06
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,CO,0.015892599447276543
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,NH3,4.0743545789042826e-05
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,NOx,0.0022220887409047773
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,PM,6.311933529974723e-06
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,PM10,5.642868575797401e-06
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,PM2_5,5.188409361639222e-06
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,SOx,8.792401148898262e-06
2017,July,Placer (SV),SBUS,Gas,RUNEX,CAT,TOG,0.0010869622500190325
2017,July,Placer (SV),SBUS,Gas,RUNLOSS,CAT,TOG,0.00015780817972929422
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,CO,0.0016162376543448131
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,NOx,4.890569404170741e-05
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,PM,2.273961626351435e-07
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,PM10,2.032921693958183e-07
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,PM2_5,1.8691964568608794e-07
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,SOx,6.645455486024828e-08
2017,July,Placer (SV),SBUS,Gas,STREX,CAT,TOG,7.605220194877297e-05
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,CO,0.0
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,NOx,0.0
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,PM,0.0
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,PM10,0.0
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Placer (SV),SBUS,NG,IDLEX,CAT,TOG,0.0
2017,July,Placer (SV),SBUS,NG,PMBW,CAT,PM,0.0
2017,July,Placer (SV),SBUS,NG,PMBW,CAT,PM10,0.0
2017,July,Placer (SV),SBUS,NG,PMBW,CAT,PM2_5,0.0
2017,July,Placer (SV),SBUS,NG,PMTW,CAT,PM,0.0
2017,July,Placer (SV),SBUS,NG,PMTW,CAT,PM10,0.0
2017,July,Placer (SV),SBUS,NG,PMTW,CAT,PM2_5,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,CO,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,NOx,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,PM,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,PM10,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Placer (SV),SBUS,NG,RUNEX,CAT,TOG,0.0
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,CO,4.627202991023419e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,NOx,1.6807629871676725e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM,5.4875651920442645e-08
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM10,5.4546398008919984e-08
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,PM2_5,5.2186744976340945e-08
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,SOx,1.6415439209121045e-08
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,IDLEX,DSL,TOG,2.982586962043038e-07
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM,7.314095734768912e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM10,7.314095734768912e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMBW,DSL,PM2_5,2.559933507169119e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM,2.0742436995912203e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM10,2.0742436995912203e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,PMTW,DSL,PM2_5,5.185609248978051e-07
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,CO,5.273042900808591e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,NH3,2.8623141822404186e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,NOx,0.0003880429737315494
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM,1.3334529294518358e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM10,1.3254522118751251e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,PM2_5,1.268113735908696e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,SOx,1.8475363310316041e-06
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,RUNEX,DSL,TOG,1.6529039308565938e-05
2017,July,Placer (SV),T6 CAIRP Class 4,Dsl,STREX,DSL,NOx,2.122492598216931e-05
2017,July,Placer (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,CO,5.809068554621132e-06
2017,July,Placer (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,NOx,1.9498955490833087e-05
2017,July,Placer (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,PM,6.648495077171812e-08
2017,July,Placer (SV),T6 CAIRP Class 5,Dsl,IDLEX,DSL,PM10,6.608604106708783e-08
