calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,CO,1.1104535852447733e-05
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,6.102879716447085e-05
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,PM,2.731294080652371e-07
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,2.714906316168456e-07
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.5974606707004047e-07
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,4.575536445563779e-08
2017,July,Plumas (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,1.1500003432677904e-06
2017,July,Plumas (MC),All Other Buses,Dsl,PMBW,DSL,PM,1.975871752606764e-05
2017,July,Plumas (MC),All Other Buses,Dsl,PMBW,DSL,PM10,1.975871752606764e-05
2017,July,Plumas (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,6.915551134123675e-06
2017,July,Plumas (MC),All Other Buses,Dsl,PMTW,DSL,PM,5.139109953187816e-06
2017,July,Plumas (MC),All Other Buses,Dsl,PMTW,DSL,PM10,5.139109953187816e-06
2017,July,Plumas (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.284777488296954e-06
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0006728411509180972
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,4.883205721343619e-05
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0031364075121054257
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,PM,8.891959584589517e-05
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,8.838607827081983e-05
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,8.456253564944631e-05
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,4.787570575429896e-06
2017,July,Plumas (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00030584148186669395
2017,July,Plumas (MC),All Other Buses,Dsl,STREX,DSL,NOx,2.9754802515540153e-05
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Plumas (MC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Plumas (MC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Plumas (MC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,CO,8.742123275594877e-05
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00019707034291717267
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,PM,1.3051886622662622e-06
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,1.2973575302926642e-06
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.2412344178152153e-06
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,1.9379773099368188e-07
2017,July,Plumas (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,1.6116262801152404e-05
2017,July,Plumas (MC),Motor Coach,Dsl,PMBW,DSL,PM,1.705624404269021e-05
2017,July,Plumas (MC),Motor Coach,Dsl,PMBW,DSL,PM10,1.705624404269021e-05
2017,July,Plumas (MC),Motor Coach,Dsl,PMBW,DSL,PM2_5,5.969685414941576e-06
2017,July,Plumas (MC),Motor Coach,Dsl,PMTW,DSL,PM,2.46632112488677e-06
2017,July,Plumas (MC),Motor Coach,Dsl,PMTW,DSL,PM10,2.46632112488677e-06
2017,July,Plumas (MC),Motor Coach,Dsl,PMTW,DSL,PM2_5,6.165802812216926e-07
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,CO,0.00022509317552680495
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,NH3,3.0383369224758515e-05
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0013036921244501342
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,PM,3.876407451505547e-05
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,PM10,3.853149006796513e-05
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,3.6864634863817744e-05
2017,July,Plumas (MC),Motor Coach,Dsl,RUNEX,DSL,SOx,3.323329268716959e-06
