calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,CO,1.6234663357170234e-05
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,NOx,4.7394759074439183e-05
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,PM,1.1593907054346392e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,PM10,1.1524343612020311e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.1025805608683418e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,SOx,2.7975787098808134e-08
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,IDLEX,DSL,TOG,4.5415912757667305e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMBW,DSL,PM,1.1115124005186922e-05
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMBW,DSL,PM10,1.1115124005186922e-05
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMBW,DSL,PM2_5,3.8902934018154225e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMTW,DSL,PM,3.1923593912361294e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMTW,DSL,PM10,3.1923593912361294e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,PMTW,DSL,PM2_5,7.980898478090323e-07
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,CO,0.0007598194271890605
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,NH3,7.18280657168217e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,NOx,0.002824046525303099
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,PM,0.0002069879385012625
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00020574601087025487
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00019684552951470063
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,SOx,2.719710257726528e-06
2017,July,Riverside (MD/MDAQMD),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0003160469018164199
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,CO,9.232460223993718e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00020812382129074814
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,PM,1.3783953885460222e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,PM10,1.3701250162147465e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.310854014507267e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,SOx,2.046676518385804e-07
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,IDLEX,DSL,TOG,1.7020207858021102e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMBW,DSL,PM,1.7265844854820728e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMBW,DSL,PM10,1.7265844854820728e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMBW,DSL,PM2_5,6.0430456991872555e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMTW,DSL,PM,2.604654610093472e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMTW,DSL,PM10,2.604654610093472e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,PMTW,DSL,PM2_5,6.51163652523368e-07
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,CO,0.00021852252048832973
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,NH3,3.208754201668392e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0012637199951882258
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,PM,4.083052193833094e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,PM10,4.058553880670098e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,PM2_5,3.8829826363352736e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,SOx,3.483525044262543e-06
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,RUNEX,DSL,TOG,6.786331023715501e-05
2017,July,Riverside (MD/MDAQMD),Motor Coach,Dsl,STREX,DSL,NOx,4.265003807234154e-05
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,CO,0.0006622765796061976
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,NH3,2.489912094527126e-06
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,NOx,0.0013722287588616405
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,PM,8.342882455984418e-05
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,PM10,8.292825161248511e-05
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,PM2_5,7.934081215641182e-05
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,SOx,1.8729991276482712e-06
2017,July,Riverside (MD/MDAQMD),PTO,Dsl,RUNEX,DSL,TOG,0.00018169273807040835
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,CO,9.52106423376592e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,NOx,0.00013172550482783954
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,PM,3.011121798308712e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,PM10,2.99305506751886e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,PM2_5,2.863576830191585e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,SOx,2.760340691430082e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,IDLEX,DSL,TOG,2.8476708013449738e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMBW,DSL,PM,1.7671929447606797e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMBW,DSL,PM10,1.7671929447606797e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMBW,DSL,PM2_5,6.1851753066623794e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMTW,DSL,PM,4.526910011239485e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMTW,DSL,PM10,4.526910011239485e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,PMTW,DSL,PM2_5,1.1317275028098712e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,CO,2.308497238473952e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,NH3,8.299332642009181e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,NOx,0.00019960372103755032
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,PM,1.4743609591376195e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,PM10,1.4655147933827936e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,PM2_5,1.4021172721398761e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,SOx,4.508920679552404e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,RUNEX,DSL,TOG,5.324376161947009e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Dsl,STREX,DSL,NOx,0.00018405389502361422
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,DIURN,CAT,TOG,4.744405982185931e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,DIURN,NCAT,TOG,9.359494507481495e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,HOTSOAK,CAT,TOG,6.736304173116046e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,HOTSOAK,NCAT,TOG,2.874781314310664e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,CAT,CO,0.0004204145451819517
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,CAT,NOx,4.738496895403122e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,CAT,SOx,1.3884516387371896e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,CAT,TOG,7.887746720812565e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,NCAT,CO,1.463386612037703e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,NCAT,NOx,1.6548292510457537e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,NCAT,SOx,5.392162273977616e-09
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,NCAT,TOG,2.630315817621083e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,CAT,PM,1.1988829479009182e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,CAT,PM10,1.1988829479009182e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,CAT,PM2_5,4.196090317653214e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,NCAT,PM,4.701614887369801e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,NCAT,PM10,4.701614887369801e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,NCAT,PM2_5,1.64556521057943e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,CAT,PM,2.0474033825781824e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,CAT,PM10,2.0474033825781824e-06
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,CAT,PM2_5,5.118508456445456e-07
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,NCAT,PM,8.029226073183271e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,NCAT,PM10,8.029226073183271e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,NCAT,PM2_5,2.0073065182958178e-08
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,CAT,CO,0.002298087297055906
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,CAT,NH3,1.1196097733098984e-05
2017,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,CAT,NOx,0.00027446629510427225
