calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,CO,6.0469978037634855e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,NOx,1.3631515974315395e-05
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,PM,9.02809617916767e-08
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,PM10,8.973927602092661e-08
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,PM2_5,8.585719466388453e-08
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,SOx,1.3405146744666526e-08
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,IDLEX,DSL,TOG,1.1147750116439784e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMBW,DSL,PM,1.1167105061776078e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMBW,DSL,PM10,1.1167105061776078e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMBW,DSL,PM2_5,3.9084867716216266e-07
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMTW,DSL,PM,1.7059744080919314e-07
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMTW,DSL,PM10,1.7059744080919314e-07
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,PMTW,DSL,PM2_5,4.2649360202298284e-08
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,CO,1.405705587034372e-05
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,NH3,2.1016423938478692e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,NOx,8.321814544250239e-05
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,PM,2.6568572195856897e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,PM10,2.6409160762681764e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,PM2_5,2.526671215825991e-06
2017,July,Riverside (MD/SCAQMD),Motor Coach,Dsl,RUNEX,DSL,SOx,2.2696997397795166e-07
