calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0006948929333481787
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0026136563406239277
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,PM,3.935193349194321e-05
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,PM10,3.9115821890991565e-05
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.742368875083799e-05
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.7494306429750344e-06
2017,July,Riverside (SC),All Other Buses,Dsl,IDLEX,DSL,TOG,0.0001556258091942291
2017,July,Riverside (SC),All Other Buses,Dsl,PMBW,DSL,PM,0.0005024607565872962
2017,July,Riverside (SC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0005024607565872962
2017,July,Riverside (SC),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.00017586126480555368
2017,July,Riverside (SC),All Other Buses,Dsl,PMTW,DSL,PM,0.00014341522290881194
2017,July,Riverside (SC),All Other Buses,Dsl,PMTW,DSL,PM10,0.00014341522290881194
2017,July,Riverside (SC),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.5853805727202985e-05
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,CO,0.01998886003428397
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0008764572682073133
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.09437238623898254
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,PM,0.004609112346739089
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.004581457672658656
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0043832658417488745
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,SOx,0.00012013205710667149
2017,July,Riverside (SC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.007898536507163288
2017,July,Riverside (SC),All Other Buses,Dsl,STREX,DSL,NOx,0.0006100625738017831
