calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,CO,7.64095574034448e-05
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00043434832706051613
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,PM,2.4683032658754484e-06
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,PM10,2.453493446280196e-06
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.3473564058475517e-06
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,SOx,2.9525522352650525e-07
2017,July,Riverside (SS),All Other Buses,Dsl,IDLEX,DSL,TOG,9.559036507799348e-06
2017,July,Riverside (SS),All Other Buses,Dsl,PMBW,DSL,PM,8.801611550239345e-05
2017,July,Riverside (SS),All Other Buses,Dsl,PMBW,DSL,PM10,8.801611550239345e-05
2017,July,Riverside (SS),All Other Buses,Dsl,PMBW,DSL,PM2_5,3.080564042583771e-05
2017,July,Riverside (SS),All Other Buses,Dsl,PMTW,DSL,PM,2.52117834347862e-05
2017,July,Riverside (SS),All Other Buses,Dsl,PMTW,DSL,PM10,2.52117834347862e-05
2017,July,Riverside (SS),All Other Buses,Dsl,PMTW,DSL,PM2_5,6.30294585869655e-06
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,CO,0.0021386904337685913
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00018425141742737814
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,NOx,0.01499593427291677
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,PM,0.00043271530124292825
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00043011900943547076
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0004115122514820248
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,SOx,2.113277894323653e-05
2017,July,Riverside (SS),All Other Buses,Dsl,RUNEX,DSL,TOG,0.000853276597106866
2017,July,Riverside (SS),All Other Buses,Dsl,STREX,DSL,NOx,0.00012051523830522216
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,CO,1.8099769908754667e-05
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,NOx,5.862410957128895e-06
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,PM,1.2639706589923794e-08
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,PM10,1.1299897691391873e-08
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,PM2_5,1.0389838816917358e-08
2017,July,Riverside (SS),All Other Buses,NG,IDLEX,CAT,TOG,1.8149493400594563e-05
2017,July,Riverside (SS),All Other Buses,NG,PMBW,CAT,PM,9.681647162417826e-06
2017,July,Riverside (SS),All Other Buses,NG,PMBW,CAT,PM10,9.681647162417826e-06
2017,July,Riverside (SS),All Other Buses,NG,PMBW,CAT,PM2_5,3.388576506846239e-06
2017,July,Riverside (SS),All Other Buses,NG,PMTW,CAT,PM,2.773260216695804e-06
2017,July,Riverside (SS),All Other Buses,NG,PMTW,CAT,PM10,2.773260216695804e-06
2017,July,Riverside (SS),All Other Buses,NG,PMTW,CAT,PM2_5,6.93315054173951e-07
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,CO,0.0005358716891405391
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,NH3,0.00024497124893247226
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,NOx,2.9848492886628738e-05
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,PM,8.111765955286319e-08
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,PM10,7.251918764025969e-08
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,PM2_5,6.667871615245353e-08
2017,July,Riverside (SS),All Other Buses,NG,RUNEX,CAT,TOG,7.890746395008866e-05
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,CO,0.0011074710552051454
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,NOx,0.002496529661499992
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,PM,1.6534411829641557e-05
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,PM10,1.6435205358663706e-05
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.5724225649989122e-05
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,SOx,2.45507150693126e-06
2017,July,Riverside (SS),Motor Coach,Dsl,IDLEX,DSL,TOG,0.00020416429747887704
2017,July,Riverside (SS),Motor Coach,Dsl,PMBW,DSL,PM,0.00021701377631973663
2017,July,Riverside (SS),Motor Coach,Dsl,PMBW,DSL,PM10,0.00021701377631973663
2017,July,Riverside (SS),Motor Coach,Dsl,PMBW,DSL,PM2_5,7.595482171190784e-05
2017,July,Riverside (SS),Motor Coach,Dsl,PMTW,DSL,PM,3.124388859845066e-05
2017,July,Riverside (SS),Motor Coach,Dsl,PMTW,DSL,PM10,3.124388859845066e-05
2017,July,Riverside (SS),Motor Coach,Dsl,PMTW,DSL,PM2_5,7.810972149612665e-06
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,CO,0.0027534306244852446
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00038490308245952036
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,NOx,0.015064057415818462
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,PM,0.00046949771946091156
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,PM10,0.000466680733144146
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0004464923312073268
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,SOx,4.143369502384855e-05
2017,July,Riverside (SS),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0008376842618630379
2017,July,Riverside (SS),Motor Coach,Dsl,STREX,DSL,NOx,0.000511604507602023
2017,July,Riverside (SS),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Riverside (SS),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Riverside (SS),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,CO,0.009075865615566654
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,NH3,0.0003284221039242367
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,NOx,0.03363041526799823
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,PM,0.0010253914225889262
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,PM10,0.0010192390740533922
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,PM2_5,0.0009751472428820686
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,SOx,6.825185406947551e-05
2017,July,Riverside (SS),PTO,Dsl,RUNEX,DSL,TOG,0.0029425133099938282
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,CO,0.0003661113287840603
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,NOx,0.006471383868023952
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,PM,7.072543806103872e-06
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,PM10,7.030108543267248e-06
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,PM2_5,6.725989159604781e-06
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,SOx,4.145572039584302e-06
2017,July,Riverside (SS),SBUS,Dsl,IDLEX,DSL,TOG,3.3499554325151e-05
2017,July,Riverside (SS),SBUS,Dsl,PMBW,DSL,PM,0.00020424244708746702
2017,July,Riverside (SS),SBUS,Dsl,PMBW,DSL,PM10,0.00020424244708746702
2017,July,Riverside (SS),SBUS,Dsl,PMBW,DSL,PM2_5,7.148485648061346e-05
2017,July,Riverside (SS),SBUS,Dsl,PMTW,DSL,PM,5.23195376702637e-05
2017,July,Riverside (SS),SBUS,Dsl,PMTW,DSL,PM10,5.23195376702637e-05
