calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,CO,0.001577089657893798
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.005843472596205591
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,PM,9.351979739250761e-05
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,9.295867860815257e-05
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.89373273202747e-05
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,3.700874254834967e-06
2017,July,Sacramento (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00036329861146756784
2017,July,Sacramento (SV),All Other Buses,Dsl,PMBW,DSL,PM,0.0012933857498163568
2017,July,Sacramento (SV),All Other Buses,Dsl,PMBW,DSL,PM10,0.0012933857498163568
2017,July,Sacramento (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0004526850124357247
2017,July,Sacramento (SV),All Other Buses,Dsl,PMTW,DSL,PM,0.0003364009618247411
2017,July,Sacramento (SV),All Other Buses,Dsl,PMTW,DSL,PM10,0.0003364009618247411
2017,July,Sacramento (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,8.410024045618528e-05
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.09102219895028409
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0015094489702853682
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.2985808578989871
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.01670309251803328
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.016602873962925074
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.01588464098464964
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0003402285920021375
2017,July,Sacramento (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.04339863571148358
2017,July,Sacramento (SV),All Other Buses,Dsl,STREX,DSL,NOx,0.0005666847694461247
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,CO,7.868715934602203e-05
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,NOx,2.548631653667281e-05
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,PM,5.4950013814663424e-08
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,PM10,4.9125312350309095e-08
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,4.516891135565333e-08
2017,July,Sacramento (SV),All Other Buses,NG,IDLEX,CAT,TOG,7.890332785785234e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMBW,CAT,PM,5.3479320145388546e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMBW,CAT,PM10,5.3479320145388546e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMBW,CAT,PM2_5,1.8717762050885987e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMTW,CAT,PM,1.3909612609537698e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMTW,CAT,PM10,1.3909612609537698e-05
2017,July,Sacramento (SV),All Other Buses,NG,PMTW,CAT,PM2_5,3.4774031523844246e-06
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,CO,0.0035838875839249128
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,NH3,0.0012286820950343853
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.00033726466987738435
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,PM,7.544150554326687e-07
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,PM10,6.744470595568056e-07
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,6.201291755656534e-07
2017,July,Sacramento (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0008629796253752239
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.005858743769520081
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.013207142101809406
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,PM,8.747035133270146e-05
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,8.694552922470524e-05
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,8.318430411739905e-05
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,1.2987820157787707e-05
2017,July,Sacramento (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0010800700390234976
2017,July,Sacramento (SV),Motor Coach,Dsl,PMBW,DSL,PM,0.0011430651379822434
2017,July,Sacramento (SV),Motor Coach,Dsl,PMBW,DSL,PM10,0.0011430651379822434
2017,July,Sacramento (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.00040007279829378526
2017,July,Sacramento (SV),Motor Coach,Dsl,PMTW,DSL,PM,0.00016528643058056074
2017,July,Sacramento (SV),Motor Coach,Dsl,PMTW,DSL,PM10,0.00016528643058056074
2017,July,Sacramento (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,4.1321607645140185e-05
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.015085159493404282
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0020362144237815565
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.08615414407733668
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,PM,0.0025978675066680753
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0025822803016280673
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0024705719988413386
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,0.0002227208885847539
2017,July,Sacramento (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.004880918095752142
2017,July,Sacramento (SV),Motor Coach,Dsl,STREX,DSL,NOx,0.002706490347791995
2017,July,Sacramento (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Sacramento (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Sacramento (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,CO,0.04722403724842192
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,NH3,0.003065395253315419
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,NOx,0.21348611575724552
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,PM,0.005177180234617893
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,PM10,0.005146117153210189
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.0049234984031216195
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,SOx,0.0005111905298076986
2017,July,Sacramento (SV),PTO,Dsl,RUNEX,DSL,TOG,0.015712158877039032
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,CO,0.002634173019389594
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.03162228846661559
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,PM,4.237652976476713e-05
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,PM10,4.2122270586178505e-05
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,4.0300079806293535e-05
2017,July,Sacramento (SV),SBUS,Dsl,IDLEX,DSL,SOx,2.3003680945994137e-05
