calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,CO,9.059155603816828e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,NOx,3.269007466642345e-05
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,PM,5.449861329879781e-07
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,PM10,5.417162161900502e-07
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,5.182818124715671e-07
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.109815973086578e-08
2017,July,San Benito (NCC),All Other Buses,Dsl,IDLEX,DSL,TOG,2.1769923840350748e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMBW,DSL,PM,6.2151449588252e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMBW,DSL,PM10,6.2151449588252e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.1753007355888196e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMTW,DSL,PM,1.616517533400883e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMTW,DSL,PM10,1.616517533400883e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,4.0412938335022075e-07
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.00032775287540372667
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,NH3,1.1544206035180927e-05
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0010386704901088463
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,PM,6.128089690484974e-05
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,PM10,6.091321152342064e-05
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,5.827813295651209e-05
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,SOx,1.6332126736827632e-06
2017,July,San Benito (NCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00015626526141603684
2017,July,San Benito (NCC),All Other Buses,Dsl,STREX,DSL,NOx,7.4975511290790715e-06
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,San Benito (NCC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,San Benito (NCC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,San Benito (NCC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
