calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,CO,0.00023821731290677648
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0006497237781931153
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,PM,1.6581013322581454e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,PM10,1.6481527242645966e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.576854366977496e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,SOx,4.106079284437214e-07
2017,July,San Bernardino (MD),All Other Buses,Dsl,IDLEX,DSL,TOG,6.486966859921444e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMBW,DSL,PM,0.0001292062988552756
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMBW,DSL,PM10,0.0001292062988552756
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.522220459934647e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMTW,DSL,PM,3.7184082038465e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMTW,DSL,PM10,3.7184082038465e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,PMTW,DSL,PM2_5,9.29602050961625e-06
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,CO,0.0076490668601659675
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,NH3,8.637611116512993e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,NOx,0.035392631975695754
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,PM,0.002060478640039247
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0020481157681990114
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0019595151866773236
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,SOx,3.139130249545303e-05
2017,July,San Bernardino (MD),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0034109348973030617
