calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0008380372078643806
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0023082048321139276
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,PM,5.722543263439696e-05
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,PM10,5.688208003859059e-05
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,5.442138643531151e-05
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.6253982697481977e-06
2017,July,San Bernardino (SC),All Other Buses,Dsl,IDLEX,DSL,TOG,0.0002315873615420886
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMBW,DSL,PM,0.0004569135046590177
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0004569135046590177
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.00015991972663065618
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMTW,DSL,PM,0.00012691082374344066
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMTW,DSL,PM10,0.00012691082374344066
2017,July,San Bernardino (SC),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.1727705935860166e-05
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,CO,0.02444622431030915
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0007358604404606829
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.08668153549597905
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0054640802083831
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.005431295727132803
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.005196340278172329
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,SOx,0.00011423728806724708
2017,July,San Bernardino (SC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.01014265558125696
2017,July,San Bernardino (SC),All Other Buses,Dsl,STREX,DSL,NOx,0.0004972594395569322
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,CO,0.0001203791928114107
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,NOx,3.89901254273183e-05
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,PM,8.406502869034448e-08
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,PM10,7.515413564916798e-08
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,PM2_5,6.910145358346317e-08
2017,July,San Bernardino (SC),All Other Buses,NG,IDLEX,CAT,TOG,0.00012070989722597655
2017,July,San Bernardino (SC),All Other Buses,NG,PMBW,CAT,PM,6.055995884222536e-05
2017,July,San Bernardino (SC),All Other Buses,NG,PMBW,CAT,PM10,6.055995884222536e-05
2017,July,San Bernardino (SC),All Other Buses,NG,PMBW,CAT,PM2_5,2.1195985594778865e-05
2017,July,San Bernardino (SC),All Other Buses,NG,PMTW,CAT,PM,1.6820939158432895e-05
2017,July,San Bernardino (SC),All Other Buses,NG,PMTW,CAT,PM10,1.6820939158432895e-05
2017,July,San Bernardino (SC),All Other Buses,NG,PMTW,CAT,PM2_5,4.205234789608224e-06
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,CO,0.003573207723172856
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,NH3,0.001485849199815794
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,NOx,0.00022526382185104887
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,PM,7.807692342938785e-07
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,PM10,6.980076954587274e-07
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,PM2_5,6.417923105895681e-07
2017,July,San Bernardino (SC),All Other Buses,NG,RUNEX,CAT,TOG,0.0006612538749662862
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,CO,0.0028473558297552313
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.006418685393553787
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,PM,4.251068566842405e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,PM10,4.22556215544135e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,4.042766207067127e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,SOx,6.312094690756318e-06
2017,July,San Bernardino (SC),Motor Coach,Dsl,IDLEX,DSL,TOG,0.000524915211031568
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMBW,DSL,PM,0.0006350116515559685
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMBW,DSL,PM10,0.0006350116515559685
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.00022225407804458893
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMTW,DSL,PM,8.032938462881551e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMTW,DSL,PM10,8.032938462881551e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.008234615720388e-05
2017,July,San Bernardino (SC),Motor Coach,Dsl,RUNEX,DSL,CO,0.0084710751311013
2017,July,San Bernardino (SC),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0009896024196309776
2017,July,San Bernardino (SC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.03984028300601489
2017,July,San Bernardino (SC),Motor Coach,Dsl,RUNEX,DSL,PM,0.001178373001142094
2017,July,San Bernardino (SC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0011713027631352424
