calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,CO,0.0017571942972063382
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,NOx,0.005637229653909817
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,PM,0.0001032080284747074
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,PM10,0.00010258878030385918
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,PM2_5,9.815083507944678e-05
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,SOx,3.826176944991554e-06
2017,July,San Diego (SD),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00040734100079956574
2017,July,San Diego (SD),All Other Buses,Dsl,PMBW,DSL,PM,0.0012761938520533115
2017,July,San Diego (SD),All Other Buses,Dsl,PMBW,DSL,PM10,0.0012761938520533115
2017,July,San Diego (SD),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.00044666784821865914
2017,July,San Diego (SD),All Other Buses,Dsl,PMTW,DSL,PM,0.0003319294644822802
2017,July,San Diego (SD),All Other Buses,Dsl,PMTW,DSL,PM10,0.0003319294644822802
2017,July,San Diego (SD),All Other Buses,Dsl,PMTW,DSL,PM2_5,8.298236612057004e-05
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,CO,0.08387261285182626
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0021484334131975868
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,NOx,0.24119728038163257
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,PM,0.015859994542214075
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,PM10,0.015764834574960786
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.015082854809645583
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,SOx,0.00033147381387149135
2017,July,San Diego (SD),All Other Buses,Dsl,RUNEX,DSL,TOG,0.04009952739959973
2017,July,San Diego (SD),All Other Buses,Dsl,STREX,DSL,NOx,0.0013073630693428162
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,CO,0.00015605895995260334
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,NOx,4.508753801878428e-05
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,PM,1.0645074945248547e-07
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,PM10,9.516697001052205e-08
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,PM2_5,8.750251604994307e-08
2017,July,San Diego (SD),All Other Buses,NG,IDLEX,CAT,TOG,0.00013676990179738277
2017,July,San Diego (SD),All Other Buses,NG,PMBW,CAT,PM,8.942125983158422e-05
2017,July,San Diego (SD),All Other Buses,NG,PMBW,CAT,PM10,8.942125983158422e-05
