calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.004358716294795653
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.007061491792459215
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,PM,0.0003590110100179189
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,0.00035685694395781124
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,0.00034141947052704087
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,5.161621405233155e-06
2017,July,San Francisco (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,0.0014684290327714091
2017,July,San Francisco (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.0018222484458448693
2017,July,San Francisco (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.0018222484458448693
2017,July,San Francisco (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0006377869560457042
2017,July,San Francisco (SF),All Other Buses,Dsl,PMTW,DSL,PM,0.00047395460322095887
2017,July,San Francisco (SF),All Other Buses,Dsl,PMTW,DSL,PM10,0.00047395460322095887
2017,July,San Francisco (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,0.00011848865080523972
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.17478428879257707
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0026161076391893676
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.4312542753197862
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.03849391315906081
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.03826294968010644
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.03660771141426683
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0004913092350690558
2017,July,San Francisco (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.08566811166797911
2017,July,San Francisco (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.0015183245761683738
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,CO,1.648040102800934e-05
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,NOx,5.3379067276290995e-06
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,PM,1.1508844285228204e-08
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,PM10,1.0288906790994014e-08
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,9.460270002457583e-09
2017,July,San Francisco (SF),All Other Buses,NG,IDLEX,CAT,TOG,1.6525675807200764e-05
2017,July,San Francisco (SF),All Other Buses,NG,PMBW,CAT,PM,1.020919411626069e-05
2017,July,San Francisco (SF),All Other Buses,NG,PMBW,CAT,PM10,1.020919411626069e-05
2017,July,San Francisco (SF),All Other Buses,NG,PMBW,CAT,PM2_5,3.573217940691241e-06
2017,July,San Francisco (SF),All Other Buses,NG,PMTW,CAT,PM,2.6553429405366654e-06
2017,July,San Francisco (SF),All Other Buses,NG,PMTW,CAT,PM10,2.6553429405366654e-06
2017,July,San Francisco (SF),All Other Buses,NG,PMTW,CAT,PM2_5,6.638357351341663e-07
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,CO,0.000684163596988077
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,NH3,0.0002345552258569903
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,NOx,6.405873703508759e-05
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,PM,1.4401771982521756e-07
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,PM10,1.287518415237445e-07
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,1.183825656963288e-07
2017,July,San Francisco (SF),All Other Buses,NG,RUNEX,CAT,TOG,0.00016474267978504385
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.002730449016139356
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.006155146832927993
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,PM,4.0765280772349333e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,4.052068908771525e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.876778201450421e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,6.052932534124331e-06
2017,July,San Francisco (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0005033632279253746
2017,July,San Francisco (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0005327218946904829
2017,July,San Francisco (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0005327218946904829
2017,July,San Francisco (SF),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.00018645266314166897
2017,July,San Francisco (SF),Motor Coach,Dsl,PMTW,DSL,PM,7.703121855411803e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,PMTW,DSL,PM10,7.703121855411803e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.9257804638529507e-05
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,CO,0.007030390902499288
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0009489712963758071
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,NOx,0.03993092092813981
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,PM,0.0012107279404479187
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,PM10,0.001203463572805231
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0011514022713659706
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,SOx,0.00010379836617487773
2017,July,San Francisco (SF),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0022747364514921773
2017,July,San Francisco (SF),Motor Coach,Dsl,STREX,DSL,NOx,0.0012613512722241239
2017,July,San Francisco (SF),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,San Francisco (SF),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,San Francisco (SF),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,CO,0.011093356617652967
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,NH3,0.0005718089439547948
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,NOx,0.042057796809666516
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,PM,0.0012600086785492432
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,PM10,0.0012524486264779476
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,PM2_5,0.00119826825330033
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,SOx,9.614769395793406e-05
2017,July,San Francisco (SF),PTO,Dsl,RUNEX,DSL,TOG,0.003464028489623831
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,CO,0.0011408850600284934
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,NOx,0.0036601150101163043
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,PM,2.986831097202285e-06
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,PM10,2.9689101106190702e-06
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,PM2_5,2.8404763734393716e-06
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,SOx,4.474264583199609e-06
2017,July,San Francisco (SF),SBUS,Dsl,IDLEX,DSL,TOG,4.565582902176333e-05
2017,July,San Francisco (SF),SBUS,Dsl,PMBW,DSL,PM,0.00019700049826420248
2017,July,San Francisco (SF),SBUS,Dsl,PMBW,DSL,PM10,0.00019700049826420248
2017,July,San Francisco (SF),SBUS,Dsl,PMBW,DSL,PM2_5,6.895017439247086e-05
2017,July,San Francisco (SF),SBUS,Dsl,PMTW,DSL,PM,5.263039569386538e-05
2017,July,San Francisco (SF),SBUS,Dsl,PMTW,DSL,PM10,5.263039569386538e-05
2017,July,San Francisco (SF),SBUS,Dsl,PMTW,DSL,PM2_5,1.3157598923466345e-05
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,CO,0.0004738596176899113
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,NH3,0.0007595781028108679
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,NOx,0.009420499722473838
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,PM,6.0250239133606655e-05
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,PM10,5.988873769880501e-05
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,PM2_5,5.729797741605992e-05
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,SOx,4.894649980454259e-05
2017,July,San Francisco (SF),SBUS,Dsl,RUNEX,DSL,TOG,0.0001669044577534478
2017,July,San Francisco (SF),SBUS,Dsl,STREX,DSL,NOx,0.0018509140019048163
2017,July,San Francisco (SF),SBUS,Gas,DIURN,CAT,TOG,7.652387561848287e-05
2017,July,San Francisco (SF),SBUS,Gas,DIURN,NCAT,TOG,1.128168475916858e-05
2017,July,San Francisco (SF),SBUS,Gas,HOTSOAK,CAT,TOG,2.1128666583507767e-05
2017,July,San Francisco (SF),SBUS,Gas,HOTSOAK,NCAT,TOG,8.723745616982476e-06
