calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00019746743563845898
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0007717257003216068
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,1.1338074875267357e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.1270046426015749e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.0782509206379249e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,5.383764223816587e-07
2017,July,San Joaquin (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,4.528159281000223e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMBW,DSL,PM,0.0001651004666516015
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,0.0001651004666516015
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,5.778516332806052e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMTW,DSL,PM,4.2941524434762226e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,4.2941524434762226e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.0735381108690557e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.009401142036846423
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00020575421078581087
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.03415717080903778
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.001678498438366714
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0016684274477365136
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0015962520148867449
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,4.2946245878601644e-05
2017,July,San Joaquin (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00448712010191999
2017,July,San Joaquin (SJV),All Other Buses,Dsl,STREX,DSL,NOx,0.000116483425777319
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,San Joaquin (SJV),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,CO,0.0011190671604023317
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.002522670318130778
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,PM,1.6707540308303806e-05
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,PM10,1.6607295066453976e-05
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,1.5888870833196916e-05
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,SOx,2.480778063619298e-06
2017,July,San Joaquin (SJV),Motor Coach,Dsl,IDLEX,DSL,TOG,0.00020630206050207062
2017,July,San Joaquin (SJV),Motor Coach,Dsl,PMBW,DSL,PM,0.00021833463086366837
2017,July,San Joaquin (SJV),Motor Coach,Dsl,PMBW,DSL,PM10,0.00021833463086366837
2017,July,San Joaquin (SJV),Motor Coach,Dsl,PMBW,DSL,PM2_5,7.641712080228392e-05
