calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0001144211891386533
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.000398875009405315
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,PM,6.407820945997653e-06
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,PM10,6.36937402032167e-06
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,6.093837719643768e-06
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.6210783314248723e-07
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,IDLEX,DSL,TOG,2.5041126753708823e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMBW,DSL,PM,6.807643222700693e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMBW,DSL,PM10,6.807643222700693e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.3826751279452425e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMTW,DSL,PM,1.7706223593397072e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMTW,DSL,PM10,1.7706223593397072e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,4.426555898349268e-06
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.004464008095398418
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00011695041004541044
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.014224120742796416
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0008077398961050444
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0008028934567284139
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0007681606411958971
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,SOx,1.7385554907558136e-05
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0021232117794317182
2017,July,San Luis Obispo (SCC),All Other Buses,Dsl,STREX,DSL,NOx,8.362923374298202e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,CO,4.168357429471762e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,NOx,1.3501069014112252e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,PM,2.9109107538968196e-08
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,PM10,2.6023542139837567e-08
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,PM2_5,2.3927686397031858e-08
2017,July,San Luis Obispo (SCC),All Other Buses,NG,IDLEX,CAT,TOG,4.1798086958511106e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMBW,CAT,PM,2.204776667512155e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMBW,CAT,PM10,2.204776667512155e-05
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMBW,CAT,PM2_5,7.71671833629254e-06
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMTW,CAT,PM,5.7344762895767665e-06
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMTW,CAT,PM10,5.7344762895767665e-06
2017,July,San Luis Obispo (SCC),All Other Buses,NG,PMTW,CAT,PM2_5,1.4336190723941916e-06
2017,July,San Luis Obispo (SCC),All Other Buses,NG,RUNEX,CAT,CO,0.0014775191050564447
