calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.0014195555444549432
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.003270010514529593
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,PM,1.7417383324755e-05
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,1.731287902480648e-05
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.6563931541842013e-05
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,4.552962906670598e-06
2017,July,San Mateo (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00010389260417386317
2017,July,San Mateo (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.003257374012079607
2017,July,San Mateo (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.003257374012079607
2017,July,San Mateo (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0011400809042278622
2017,July,San Mateo (SF),All Other Buses,Dsl,PMTW,DSL,PM,0.0008472211409798527
2017,July,San Mateo (SF),All Other Buses,Dsl,PMTW,DSL,PM10,0.0008472211409798527
2017,July,San Mateo (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,0.00021180528524496317
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.031916157538875285
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.012753312956829748
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.15843811678648864
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.0045956564827166375
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.004568082543820336
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.004370469315063521
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0007948006780947525
2017,July,San Mateo (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.013809287008033867
2017,July,San Mateo (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.0069525416391695285
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,CO,7.606078954816567e-05
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,NOx,2.463565052500278e-05
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,PM,5.311592731473035e-08
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,PM10,4.7485639019368943e-08
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,4.366129225270834e-08
2017,July,San Mateo (SF),All Other Buses,NG,IDLEX,CAT,TOG,7.626974292533566e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMBW,CAT,PM,6.867134376895684e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMBW,CAT,PM10,6.867134376895684e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMBW,CAT,PM2_5,2.4034970319134886e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMTW,CAT,PM,1.786095609678286e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMTW,CAT,PM10,1.786095609678286e-05
2017,July,San Mateo (SF),All Other Buses,NG,PMTW,CAT,PM2_5,4.465239024195715e-06
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,CO,0.004601972793145644
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,NH3,0.0015777173363738795
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,NOx,0.00042991617391497023
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,PM,9.687239006638835e-07
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,PM10,8.660391671935118e-07
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,7.962910463457122e-07
2017,July,San Mateo (SF),All Other Buses,NG,RUNEX,CAT,TOG,0.0011081287188886915
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.004355192499898127
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.009817743954964058
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,PM,6.502250876194936e-05
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,6.463237370937765e-05
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,6.183640583261381e-05
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,9.654707419617395e-06
2017,July,San Mateo (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0008028876357064404
2017,July,San Mateo (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0008497160674082205
2017,July,San Mateo (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0008497160674082205
