calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,CO,0.00026575343184096086
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0009923511797333326
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,PM,1.1287917709491399e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,PM10,1.1220190203234454e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.0734809741726324e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,SOx,7.237520003841459e-07
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,IDLEX,DSL,TOG,4.45428276183887e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMBW,DSL,PM,0.0002757363517273289
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0002757363517273289
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.650772310456508e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMTW,DSL,PM,7.171717636775335e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMTW,DSL,PM10,7.171717636775335e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.7929294091938337e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.012743596989091924
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0006520436510120376
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.04378943053761085
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,PM,0.002120604570231261
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.002107880942809873
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.002016694946289929
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,SOx,6.894381345992231e-05
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00596086870975395
2017,July,Santa Barbara (SCC),All Other Buses,Dsl,STREX,DSL,NOx,0.00043511600491530675
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Santa Barbara (SCC),All Other Buses,NG,PMBW,CAT,PM,0.0
