calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.0013237809657558625
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00322538237898719
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,PM,3.0825085645201635e-05
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,3.064013513133041e-05
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.9314656448586743e-05
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,3.7322888502958036e-06
2017,July,Santa Clara (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00014402322469009695
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.002407406553671899
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.002407406553671899
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0008425922937851645
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMTW,DSL,PM,0.0006261503037847761
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMTW,DSL,PM10,0.0006261503037847761
2017,July,Santa Clara (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,0.00015653757594619403
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.04115681142816245
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.009137938537182793
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.15887314272029207
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.007190706530151686
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00714756229097078
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.006838361910174254
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0005946549582369608
2017,July,Santa Clara (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.018659041757231393
2017,July,Santa Clara (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.0053412142801748915
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,CO,2.529098921657154e-05
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,NOx,8.191605365554561e-06
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,PM,1.766158822338231e-08
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,PM10,1.5789459871703785e-08
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,1.4517825519620258e-08
2017,July,Santa Clara (SF),All Other Buses,NG,IDLEX,CAT,TOG,2.5360468348199877e-05
2017,July,Santa Clara (SF),All Other Buses,NG,PMBW,CAT,PM,2.3467627165259322e-05
2017,July,Santa Clara (SF),All Other Buses,NG,PMBW,CAT,PM10,2.3467627165259322e-05
2017,July,Santa Clara (SF),All Other Buses,NG,PMBW,CAT,PM2_5,8.213669507840761e-06
2017,July,Santa Clara (SF),All Other Buses,NG,PMTW,CAT,PM,6.103772483389874e-06
2017,July,Santa Clara (SF),All Other Buses,NG,PMTW,CAT,PM10,6.103772483389874e-06
2017,July,Santa Clara (SF),All Other Buses,NG,PMTW,CAT,PM2_5,1.5259431208474685e-06
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,CO,0.001572670284384761
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,NH3,0.000539166414840504
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,NOx,0.00014606079872842218
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,PM,3.310500432806816e-07
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,PM10,2.9595873869292937e-07
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,2.7212313557672024e-07
2017,July,Santa Clara (SF),All Other Buses,NG,RUNEX,CAT,TOG,0.0003786900066130932
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.005255626685043255
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.011847558315238229
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,PM,7.846588461606542e-05
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,7.799508930836901e-05
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,7.462105626987822e-05
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,1.1650814045995256e-05
2017,July,Santa Clara (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0009688843107184718
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0010253945006511345
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0010253945006511345
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.00035888807522789707
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMTW,DSL,PM,0.00014827133757988451
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMTW,DSL,PM10,0.00014827133757988451
2017,July,Santa Clara (SF),Motor Coach,Dsl,PMTW,DSL,PM2_5,3.706783439497113e-05
2017,July,Santa Clara (SF),Motor Coach,Dsl,RUNEX,DSL,CO,0.013532246826534125
2017,July,Santa Clara (SF),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0018266002548006678
2017,July,Santa Clara (SF),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0763440712597774
2017,July,Santa Clara (SF),Motor Coach,Dsl,RUNEX,DSL,PM,0.002330435043675613
2017,July,Santa Clara (SF),Motor Coach,Dsl,RUNEX,DSL,PM10,0.002316452433413559
