calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,CO,0.00015906433110267332
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0005970136009225972
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,PM,8.15288223986059e-06
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,PM10,8.103964946421424e-06
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,7.753391010107419e-06
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,SOx,3.76373420456026e-07
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,IDLEX,DSL,TOG,3.0188040713098152e-05
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMBW,DSL,PM,0.0001474862193135355
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMBW,DSL,PM10,0.0001474862193135355
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,5.1620176759737405e-05
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMTW,DSL,PM,3.8360176799545414e-05
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMTW,DSL,PM10,3.8360176799545414e-05
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,9.590044199886353e-06
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.01079222017850623
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00016086898620926095
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.038918578172199084
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,PM,0.002103145599996078
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.002090526726396102
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00200009146559627
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,SOx,3.808928203285026e-05
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0051345252270849255
2017,July,Santa Cruz (NCC),All Other Buses,Dsl,STREX,DSL,NOx,6.811491276618835e-05
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Santa Cruz (NCC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00023253698251855643
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0005241992298803191
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,PM,3.471749637620788e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,PM10,3.450919139795064e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.3016339053773688e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,SOx,5.154942130594369e-07
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,IDLEX,DSL,TOG,4.286861444425262e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMBW,DSL,PM,4.536892692598211e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMBW,DSL,PM10,4.536892692598211e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.587912442409374e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMTW,DSL,PM,6.560315542562164e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMTW,DSL,PM10,6.560315542562164e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.640078885640541e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,CO,0.0005987388434670957
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,NH3,8.081854684261329e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0033902951687905325
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,PM,0.0001031108876974938
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00010249222237130882
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,9.805845420031656e-05
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,SOx,8.839922925939565e-06
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0001937265069677268
2017,July,Santa Cruz (NCC),Motor Coach,Dsl,STREX,DSL,NOx,0.00010742219210291606
2017,July,Santa Cruz (NCC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Santa Cruz (NCC),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Santa Cruz (NCC),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,CO,0.009182852345410376
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,NH3,0.00042632968432923426
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,NOx,0.029688425336063237
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,PM,0.0010922173740167658
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,PM10,0.0010856640697726651
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,PM2_5,0.0010386987226899441
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,SOx,6.793411025550178e-05
2017,July,Santa Cruz (NCC),PTO,Dsl,RUNEX,DSL,TOG,0.0027050641869382575
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,CO,0.0005242679169976706
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,NOx,0.003720567237550925
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,PM,5.654727025709708e-06
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,PM10,5.6207986635554515e-06
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,PM2_5,5.377645401449934e-06
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,SOx,3.2194904084135204e-06
2017,July,Santa Cruz (NCC),SBUS,Dsl,IDLEX,DSL,TOG,3.495967640491537e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMBW,DSL,PM,0.00016683714972119435
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMBW,DSL,PM10,0.00016683714972119435
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMBW,DSL,PM2_5,5.839300240241802e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMTW,DSL,PM,4.45719949118458e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMTW,DSL,PM10,4.45719949118458e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,PMTW,DSL,PM2_5,1.114299872796145e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,CO,0.0009552790374954604
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,NH3,0.00044274114543491115
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,NOx,0.023411301214342973
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,PM,0.0001546157995209247
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,PM10,0.00015368810472379918
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,PM2_5,0.00014703962534439946
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,SOx,4.013077770685723e-05
2017,July,Santa Cruz (NCC),SBUS,Dsl,RUNEX,DSL,TOG,0.00037125144072891843
2017,July,Santa Cruz (NCC),SBUS,Dsl,STREX,DSL,NOx,0.000922252883024139
2017,July,Santa Cruz (NCC),SBUS,Gas,DIURN,CAT,TOG,5.571122149734027e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,DIURN,NCAT,TOG,3.0145568902360757e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,HOTSOAK,CAT,TOG,1.8262346360381062e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,HOTSOAK,NCAT,TOG,2.3660692395564603e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,CAT,CO,0.0013593621575649075
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,CAT,NOx,1.5324948566832227e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,CAT,SOx,4.541128819166703e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,CAT,TOG,0.0002548904073244614
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,NCAT,CO,0.0001412761247624347
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,NCAT,NOx,1.5975809933488918e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,NCAT,SOx,5.205622245627928e-08
2017,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,NCAT,TOG,2.5393209324048924e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,CAT,PM,3.920262931812521e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,CAT,PM10,3.920262931812521e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,CAT,PM2_5,1.372092026134382e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,NCAT,PM,4.502729335860782e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,NCAT,PM10,4.502729335860782e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMBW,NCAT,PM2_5,1.575955267551274e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,CAT,PM,6.774196933754265e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,CAT,PM10,6.774196933754265e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,CAT,PM2_5,1.6935492334385663e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,NCAT,PM,7.780696292840445e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,NCAT,PM10,7.780696292840445e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,PMTW,NCAT,PM2_5,1.9451740732101113e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,CO,0.01076442187580352
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,NH3,3.500565951215561e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,NOx,0.0012289742098118305
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,PM,2.9910000380633824e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,PM10,2.6739540340286645e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,PM2_5,2.4586020312881004e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,SOx,7.89995886547888e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CAT,TOG,0.0008008507440047155
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,CO,0.016116322114676833
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,NH3,4.862933789303878e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,NOx,0.0002968230290306162
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,PM,4.38938400631887e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,PM10,4.2181980300724336e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,PM2_5,4.025065133794404e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,SOx,1.163245642331911e-06
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NCAT,TOG,0.0007064868779002812
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNLOSS,CAT,TOG,4.958375903953481e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,RUNLOSS,NCAT,TOG,2.5843305959517792e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,CO,0.0008353040265232606
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,NOx,3.5886450134187684e-05
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,PM,1.0046262575286843e-07
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,PM10,8.98135874230644e-08
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,PM2_5,8.258027836885785e-08
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,SOx,4.261911052185347e-08
2017,July,Santa Cruz (NCC),SBUS,Gas,STREX,CAT,TOG,3.727719176910139e-05
