calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00012869544360388457
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00033918288182911666
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,PM,9.702433787364664e-06
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,9.644219184640472e-06
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,9.22701453178379e-06
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,2.0726848164163301e-07
2017,July,Shasta (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,3.864164502499208e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMBW,DSL,PM,7.068353148946374e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMBW,DSL,PM10,7.068353148946374e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.47392360213123e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMTW,DSL,PM,1.8384312631866503e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMTW,DSL,PM10,1.8384312631866503e-05
2017,July,Shasta (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,4.596078157966626e-06
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.006558260496949183
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,5.615281775490866e-05
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.01863584431927569
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.00136986903051776
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0013616498163346539
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0013027454480223901
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.913636263750724e-05
2017,July,Shasta (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.003175459208224243
2017,July,Shasta (SV),All Other Buses,Dsl,STREX,DSL,NOx,9.120631853604978e-06
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Shasta (SV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Shasta (SV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Shasta (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.00041107060661061876
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0009266607533901686
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,PM,6.137235523055295e-06
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,6.100412109916963e-06
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,5.836510982425587e-06
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,9.112723342821238e-07
2017,July,Shasta (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,7.578161182490371e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMBW,DSL,PM,8.020157531050398e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMBW,DSL,PM10,8.020157531050398e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,2.807055135867639e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMTW,DSL,PM,1.159709247489722e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMTW,DSL,PM10,1.159709247489722e-05
2017,July,Shasta (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.899273118724305e-06
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.001058429231178269
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0001428681525057479
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.006087792889693044
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,PM,0.0001822757597616343
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00018118210520306458
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.00017334424753331432
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,1.5626901324786944e-05
2017,July,Shasta (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.000342462828436771
2017,July,Shasta (SV),Motor Coach,Dsl,STREX,DSL,NOx,0.0001898971303098608
2017,July,Shasta (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Shasta (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Shasta (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Shasta (SV),PTO,Dsl,RUNEX,DSL,CO,0.015632450575402006
