calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,CO,2.6394141141555024e-06
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,2.608507481169389e-05
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,PM,9.26373212373152e-08
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,9.208149730989128e-08
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.809809249668676e-08
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.646900732317753e-08
2017,July,Sierra (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,3.982950867897009e-07
2017,July,Sierra (MC),All Other Buses,Dsl,PMBW,DSL,PM,5.139992191020427e-06
2017,July,Sierra (MC),All Other Buses,Dsl,PMBW,DSL,PM10,5.139992191020427e-06
2017,July,Sierra (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.7989972668571492e-06
2017,July,Sierra (MC),All Other Buses,Dsl,PMTW,DSL,PM,1.336877507020963e-06
2017,July,Sierra (MC),All Other Buses,Dsl,PMTW,DSL,PM10,1.336877507020963e-06
2017,July,Sierra (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.342193767552407e-07
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0001983451084443205
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,3.7376430749554665e-06
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.001040228882561403
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,PM,2.5629955523804108e-05
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,2.547617579066128e-05
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,2.4374087703137705e-05
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,1.3856578894499064e-06
2017,July,Sierra (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,9.402425957825244e-05
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Sierra (MC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Sierra (MC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Sierra (MC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,CO,1.831176072513616e-05
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,4.1279502150171124e-05
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,PM,2.7339242116731625e-07
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,2.7175206664031245e-07
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,2.5999619253011774e-07
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,4.0594001790590447e-08
2017,July,Sierra (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,3.3758062989340954e-06
2017,July,Sierra (MC),Motor Coach,Dsl,PMBW,DSL,PM,3.5727002534714273e-06
2017,July,Sierra (MC),Motor Coach,Dsl,PMBW,DSL,PM10,3.5727002534714273e-06
2017,July,Sierra (MC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.2504450887149994e-06
2017,July,Sierra (MC),Motor Coach,Dsl,PMTW,DSL,PM,5.1660999256171e-07
2017,July,Sierra (MC),Motor Coach,Dsl,PMTW,DSL,PM10,5.1660999256171e-07
2017,July,Sierra (MC),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.291524981404275e-07
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,CO,4.714932802594107e-05
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,NH3,6.364277543104939e-06
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0002743101756455645
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,PM,8.119748902448285e-06
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,PM10,8.071030409033596e-06
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,7.72188120622832e-06
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,SOx,6.961239116300413e-07
2017,July,Sierra (MC),Motor Coach,Dsl,RUNEX,DSL,TOG,1.5255523712890851e-05
2017,July,Sierra (MC),Motor Coach,Dsl,STREX,DSL,NOx,8.459254339043627e-06
2017,July,Sierra (MC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Sierra (MC),PTO,Dsl,PMTW,DSL,PM10,0.0
