calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,CO,8.390757560700624e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00024915561165721287
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,PM,4.5267216751881465e-06
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,PM10,4.499561345137018e-06
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.3049123131039286e-06
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,SOx,1.805591374244771e-07
2017,July,Siskiyou (NEP),All Other Buses,Dsl,IDLEX,DSL,TOG,1.7973633287078094e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMBW,DSL,PM,6.0062201085584736e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMBW,DSL,PM10,6.0062201085584736e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMBW,DSL,PM2_5,2.1021770379954654e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMTW,DSL,PM,1.5621775806151066e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMTW,DSL,PM10,1.5621775806151066e-05
2017,July,Siskiyou (NEP),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.905443951537767e-06
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,CO,0.0034476465839197853
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0001343525924320481
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,NOx,0.010250730263604065
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,PM,0.0006545217009015341
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0006505945706961249
2017,July,Siskiyou (NEP),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0006224501375573589
