calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.00020239960997659023
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0005875150233885471
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,PM,1.3402017098936402e-05
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,1.3321604996342784e-05
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.2745318261088518e-05
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,3.9841102108453985e-07
2017,July,Solano (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,5.373731663252375e-05
2017,July,Solano (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.00021592137428400182
2017,July,Solano (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.00021592137428400182
2017,July,Solano (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.557248099940064e-05
2017,July,Solano (SF),All Other Buses,Dsl,PMTW,DSL,PM,5.615970177340481e-05
2017,July,Solano (SF),All Other Buses,Dsl,PMTW,DSL,PM10,5.615970177340481e-05
2017,July,Solano (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.4039925443351203e-05
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.014972160696419243
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.00032909421529526544
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.04643774403829912
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.0028588871488364202
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.002841733825943402
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0027188016785434357
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,5.692503093695264e-05
2017,July,Solano (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0072144380675935385
2017,July,Solano (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.00011398406846185335
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,CO,3.525285886554114e-07
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,NOx,1.1418197420482368e-07
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,PM,2.461831254003448e-10
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,PM10,2.2008771410790827e-10
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,2.0236252907908345e-10
2017,July,Solano (SF),All Other Buses,NG,IDLEX,CAT,TOG,3.5349705137563956e-07
2017,July,Solano (SF),All Other Buses,NG,PMBW,CAT,PM,3.995986042563456e-07
2017,July,Solano (SF),All Other Buses,NG,PMBW,CAT,PM10,3.995986042563456e-07
2017,July,Solano (SF),All Other Buses,NG,PMBW,CAT,PM2_5,1.3985951148972092e-07
2017,July,Solano (SF),All Other Buses,NG,PMTW,CAT,PM,1.0393291779714239e-07
2017,July,Solano (SF),All Other Buses,NG,PMTW,CAT,PM10,1.0393291779714239e-07
2017,July,Solano (SF),All Other Buses,NG,PMTW,CAT,PM2_5,2.5983229449285597e-08
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,CO,2.677888336004831e-05
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,NH3,9.180738440872635e-06
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,NOx,2.495539299316642e-06
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,PM,5.637005151922499e-09
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,PM10,5.039482605818716e-09
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,4.633618234880295e-09
2017,July,Solano (SF),All Other Buses,NG,RUNEX,CAT,TOG,6.448201900549759e-06
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.003610598241850448
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00813923358463725
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,PM,5.390580458202278e-05
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,5.358236975453064e-05
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,5.1264420157503674e-05
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,8.004070918947086e-06
2017,July,Solano (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0006656203338779963
2017,July,Solano (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0007044426484503477
2017,July,Solano (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0007044426484503477
2017,July,Solano (SF),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.0002465549269576217
2017,July,Solano (SF),Motor Coach,Dsl,PMTW,DSL,PM,0.00010186192111204377
2017,July,Solano (SF),Motor Coach,Dsl,PMTW,DSL,PM10,0.00010186192111204377
2017,July,Solano (SF),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.5465480278010942e-05
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,CO,0.009296609049408952
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0012548683656239369
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,NOx,0.05258247259010652
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,PM,0.0016010012079895925
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0015913952007416549
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.001522552148798102
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,SOx,0.0001372573507900089
2017,July,Solano (SF),Motor Coach,Dsl,RUNEX,DSL,TOG,0.0030079885703716376
2017,July,Solano (SF),Motor Coach,Dsl,STREX,DSL,NOx,0.001667942766529874
2017,July,Solano (SF),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Solano (SF),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Solano (SF),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Solano (SF),PTO,Dsl,RUNEX,DSL,CO,0.01128406546356907
2017,July,Solano (SF),PTO,Dsl,RUNEX,DSL,NH3,0.0006342283391924156
2017,July,Solano (SF),PTO,Dsl,RUNEX,DSL,NOx,0.045526505123069744
