calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,CO,3.812446790959135e-05
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00020499946594826175
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,PM,2.067726317988854e-06
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,2.0553199600809205e-06
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.9664077284074e-06
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.1300365035429982e-07
2017,July,Solano (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,7.690558553622068e-06
2017,July,Solano (SV),All Other Buses,Dsl,PMBW,DSL,PM,3.83120357469085e-05
2017,July,Solano (SV),All Other Buses,Dsl,PMBW,DSL,PM10,3.83120357469085e-05
2017,July,Solano (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.3409212511417975e-05
2017,July,Solano (SV),All Other Buses,Dsl,PMTW,DSL,PM,9.964703628870069e-06
2017,July,Solano (SV),All Other Buses,Dsl,PMTW,DSL,PM10,9.964703628870069e-06
2017,July,Solano (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.491175907217517e-06
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0027642998456803257
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,2.699954765130432e-05
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.00817776780799302
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0004807448234148326
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0004778603544743436
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00045718832706750576
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.0075326434258011e-05
2017,July,Solano (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0012894926771020898
2017,July,Solano (SV),All Other Buses,Dsl,STREX,DSL,NOx,2.5629859846105196e-06
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,CO,4.358560292230933e-06
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,NOx,1.4117125103409448e-06
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,PM,3.0437361096863773e-09
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,PM10,2.721100082059622e-09
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,2.5019510821622024e-09
2017,July,Solano (SV),All Other Buses,NG,IDLEX,CAT,TOG,4.3705340818546115e-06
2017,July,Solano (SV),All Other Buses,NG,PMBW,CAT,PM,3.6073521905923356e-06
2017,July,Solano (SV),All Other Buses,NG,PMBW,CAT,PM10,3.6073521905923356e-06
2017,July,Solano (SV),All Other Buses,NG,PMBW,CAT,PM2_5,1.2625732667073174e-06
2017,July,Solano (SV),All Other Buses,NG,PMTW,CAT,PM,9.382481187288104e-07
2017,July,Solano (SV),All Other Buses,NG,PMTW,CAT,PM10,9.382481187288104e-07
2017,July,Solano (SV),All Other Buses,NG,PMTW,CAT,PM2_5,2.345620296822026e-07
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,CO,0.00024174474715761698
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,NH3,8.287856006797162e-05
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,NOx,2.2601618721089444e-05
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,PM,5.088772249595512e-08
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,PM10,4.5493623911383886e-08
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,4.182970789167511e-08
2017,July,Solano (SV),All Other Buses,NG,RUNEX,CAT,TOG,5.821075199854243e-05
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.00032183507993360777
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0007255005170465967
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,PM,4.804959667196148e-06
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,4.776129909192973e-06
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,4.569516643503536e-06
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,7.134526279150328e-07
2017,July,Solano (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,5.933088064909455e-05
2017,July,Solano (SV),Motor Coach,Dsl,PMBW,DSL,PM,6.279135504978649e-05
2017,July,Solano (SV),Motor Coach,Dsl,PMBW,DSL,PM10,6.279135504978649e-05
2017,July,Solano (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,2.1976974267425268e-05
2017,July,Solano (SV),Motor Coach,Dsl,PMTW,DSL,PM,9.079586633020993e-06
2017,July,Solano (SV),Motor Coach,Dsl,PMTW,DSL,PM10,9.079586633020993e-06
2017,July,Solano (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.2698966582552483e-06
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.0008286645915954085
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00011185422299455193
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.004702655370180978
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,PM,0.00014270719625956483
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00014185095308200747
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0001357145436428462
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,1.2234601447836706e-05
2017,July,Solano (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00026812073164990646
2017,July,Solano (SV),Motor Coach,Dsl,STREX,DSL,NOx,0.00014867411371576787
2017,July,Solano (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Solano (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Solano (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,CO,0.0035663761697628197
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,NH3,0.00021142072026404787
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,NOx,0.014728436766372536
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,PM,0.0004030411167925675
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,PM10,0.000400622870091812
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.0003832921020697315
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,SOx,3.485100871797425e-05
2017,July,Solano (SV),PTO,Dsl,RUNEX,DSL,TOG,0.0011118262361420796
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,CO,0.0001501462451117726
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.001263360941404011
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,PM,1.5816278468036753e-06
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,PM10,1.5721380797228527e-06
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,1.5041280823102948e-06
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,SOx,1.0160961494552931e-06
2017,July,Solano (SV),SBUS,Dsl,IDLEX,DSL,TOG,9.690041731632964e-06
2017,July,Solano (SV),SBUS,Dsl,PMBW,DSL,PM,3.684377422650196e-05
2017,July,Solano (SV),SBUS,Dsl,PMBW,DSL,PM10,3.684377422650196e-05
2017,July,Solano (SV),SBUS,Dsl,PMBW,DSL,PM2_5,1.2895320979275686e-05
2017,July,Solano (SV),SBUS,Dsl,PMTW,DSL,PM,9.843134578246884e-06
2017,July,Solano (SV),SBUS,Dsl,PMTW,DSL,PM10,9.843134578246884e-06
2017,July,Solano (SV),SBUS,Dsl,PMTW,DSL,PM2_5,2.460783644561721e-06
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,CO,0.00020525208624481924
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,NH3,8.722831029582521e-05
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,NOx,0.005530247841858711
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,PM,3.15482228766394e-05
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,PM10,3.135893353937957e-05
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,PM2_5,3.0002359955684073e-05
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,SOx,8.74905332574242e-06
2017,July,Solano (SV),SBUS,Dsl,RUNEX,DSL,TOG,7.801238590078543e-05
2017,July,Solano (SV),SBUS,Dsl,STREX,DSL,NOx,0.0002682063380686354
2017,July,Solano (SV),SBUS,Gas,DIURN,CAT,TOG,3.9070107153576583e-05
2017,July,Solano (SV),SBUS,Gas,DIURN,NCAT,TOG,7.559362888443645e-06
2017,July,Solano (SV),SBUS,Gas,HOTSOAK,CAT,TOG,9.37993387532209e-06
2017,July,Solano (SV),SBUS,Gas,HOTSOAK,NCAT,TOG,4.226214270645411e-06
2017,July,Solano (SV),SBUS,Gas,IDLEX,CAT,CO,0.0006882829380135633
2017,July,Solano (SV),SBUS,Gas,IDLEX,CAT,NOx,7.75764445429616e-06
2017,July,Solano (SV),SBUS,Gas,IDLEX,CAT,SOx,2.273107779337616e-07
2017,July,Solano (SV),SBUS,Gas,IDLEX,CAT,TOG,0.00012913448284616554
2017,July,Solano (SV),SBUS,Gas,IDLEX,NCAT,CO,2.3957877964167663e-05
2017,July,Solano (SV),SBUS,Gas,IDLEX,NCAT,NOx,2.709208689075234e-07
2017,July,Solano (SV),SBUS,Gas,IDLEX,NCAT,SOx,8.827794696239586e-09
2017,July,Solano (SV),SBUS,Gas,IDLEX,NCAT,TOG,4.306229457575646e-06
2017,July,Solano (SV),SBUS,Gas,PMBW,CAT,PM,1.9397692279254078e-05
2017,July,Solano (SV),SBUS,Gas,PMBW,CAT,PM10,1.9397692279254078e-05
