calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,CO,6.215058055426378e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0001637646441051577
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,PM,4.626517590653684e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,PM10,4.598758485109762e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.399818228711652e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,SOx,9.831227017017702e-08
2017,July,Sonoma (NC),All Other Buses,Dsl,IDLEX,DSL,TOG,1.8288754532487673e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,PMBW,DSL,PM,3.3742541327620624e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,PMBW,DSL,PM10,3.3742541327620624e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.1809889464667218e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,PMTW,DSL,PM,8.776208767287215e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,PMTW,DSL,PM10,8.776208767287215e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.194052191821804e-06
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0036054294435177944
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,NH3,1.974646406704105e-05
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.010423884718782316
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0007117717752655307
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0007075011446139376
2017,July,Sonoma (NC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0006768949582775197
