calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.0002354431544509078
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0007294684591119537
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,PM,5.8697520627794965e-06
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,5.834533550402819e-06
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,5.582134211703302e-06
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,6.803557915603261e-07
2017,July,Sonoma (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,2.52973996414864e-05
2017,July,Sonoma (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.00036903266601900203
2017,July,Sonoma (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.00036903266601900203
2017,July,Sonoma (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.00012916143310665073
2017,July,Sonoma (SF),All Other Buses,Dsl,PMTW,DSL,PM,9.598292219561516e-05
2017,July,Sonoma (SF),All Other Buses,Dsl,PMTW,DSL,PM10,9.598292219561516e-05
2017,July,Sonoma (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.399573054890379e-05
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.008884933184761754
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.001274694672635561
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.033537466168615804
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.0014071567712289487
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0013987138306015751
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00133820608943873
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,9.180273007483097e-05
2017,July,Sonoma (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.004068565360266744
2017,July,Sonoma (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.0007642737394226941
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,CO,2.6795883454828394e-06
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,NOx,8.679031919381079e-07
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,PM,1.8712508854767412e-09
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,PM10,1.6728982916162068e-09
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,1.538168227861881e-09
2017,July,Sonoma (SF),All Other Buses,NG,IDLEX,CAT,TOG,2.686949681560734e-06
2017,July,Sonoma (SF),All Other Buses,NG,PMBW,CAT,PM,2.3271112187026002e-06
2017,July,Sonoma (SF),All Other Buses,NG,PMBW,CAT,PM10,2.3271112187026002e-06
2017,July,Sonoma (SF),All Other Buses,NG,PMBW,CAT,PM2_5,8.144889265459099e-07
2017,July,Sonoma (SF),All Other Buses,NG,PMTW,CAT,PM,6.052660255116104e-07
2017,July,Sonoma (SF),All Other Buses,NG,PMTW,CAT,PM10,6.052660255116104e-07
2017,July,Sonoma (SF),All Other Buses,NG,PMTW,CAT,PM2_5,1.513165063779026e-07
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,CO,0.00015595009398861588
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,NH3,5.3465150263696557e-05
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,NOx,1.463239717817535e-05
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,PM,3.2827787157404446e-08
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,PM10,2.9348041718719575e-08
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,2.6984441043386454e-08
2017,July,Sonoma (SF),All Other Buses,NG,RUNEX,CAT,TOG,3.755189038048419e-05
2017,July,Sonoma (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.001745763378021393
