calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.0004401674311860079
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0013219338300199729
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,1.7102148866962614e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.699953597376084e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.6264143572481448e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.1354551654357255e-06
2017,July,Stanislaus (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,7.052413728609431e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMBW,DSL,PM,0.0002173230004905257
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,0.0002173230004905257
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.606305017168398e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMTW,DSL,PM,5.652425535230446e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,5.652425535230446e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.4131063838076116e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.007355823336198762
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0006602742998772948
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.02581696091650123
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0013006362074586676
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0012928323902139153
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0012369050332931924
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,5.561574137064624e-05
2017,July,Stanislaus (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.003462539809172673
2017,July,Stanislaus (SJV),All Other Buses,Dsl,STREX,DSL,NOx,0.0010244625230573753
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,CO,3.0555509689511254e-05
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,NOx,9.896753147000294e-06
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,PM,2.133798822460107e-08
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,PM10,1.9076161472793356e-08
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,PM2_5,1.7539826320622075e-08
2017,July,Stanislaus (SJV),All Other Buses,NG,IDLEX,CAT,TOG,3.063945145475852e-05
2017,July,Stanislaus (SJV),All Other Buses,NG,PMBW,CAT,PM,1.0079013943478824e-05
2017,July,Stanislaus (SJV),All Other Buses,NG,PMBW,CAT,PM10,1.0079013943478824e-05
2017,July,Stanislaus (SJV),All Other Buses,NG,PMBW,CAT,PM2_5,3.527654880217588e-06
2017,July,Stanislaus (SJV),All Other Buses,NG,PMTW,CAT,PM,2.6214839504089723e-06
2017,July,Stanislaus (SJV),All Other Buses,NG,PMTW,CAT,PM10,2.6214839504089723e-06
2017,July,Stanislaus (SJV),All Other Buses,NG,PMTW,CAT,PM2_5,6.553709876022431e-07
2017,July,Stanislaus (SJV),All Other Buses,NG,RUNEX,CAT,CO,0.0006754396434367273
2017,July,Stanislaus (SJV),All Other Buses,NG,RUNEX,CAT,NH3,0.00023156434925289876
