calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,CO,6.5158398381185535e-06
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,2.079412628969709e-05
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,PM,4.57738902315098e-07
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,4.549924689012075e-07
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,4.3530969610165825e-07
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.2136192069599923e-08
2017,July,Sutter (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,1.7909516081482476e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMBW,DSL,PM,5.333079059574645e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMBW,DSL,PM10,5.333079059574645e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.8665776708511262e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMTW,DSL,PM,1.3870981069514864e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMTW,DSL,PM10,1.3870981069514864e-06
2017,July,Sutter (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.467745267378716e-07
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0005739585804282675
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,3.1209698461679492e-06
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0017197029664428158
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.00010691728175141986
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00010627577806091135
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00010167833494560029
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.435452551694031e-06
2017,July,Sutter (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.00027754661991420974
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,CO,3.5343032341465135e-05
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,7.96724466550297e-05
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,PM,5.276672914344274e-07
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,5.245012876858209e-07
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,5.018115941541402e-07
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,7.834938101746427e-08
2017,July,Sutter (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,6.515552108431251e-06
2017,July,Sutter (SV),Motor Coach,Dsl,PMBW,DSL,PM,6.895571770281892e-06
2017,July,Sutter (SV),Motor Coach,Dsl,PMBW,DSL,PM10,6.895571770281892e-06
2017,July,Sutter (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,2.413450119598662e-06
2017,July,Sutter (SV),Motor Coach,Dsl,PMTW,DSL,PM,9.97094922109047e-07
2017,July,Sutter (SV),Motor Coach,Dsl,PMTW,DSL,PM10,9.97094922109047e-07
2017,July,Sutter (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.4927373052726174e-07
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,CO,9.100163804884967e-05
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,1.2283519313391054e-05
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0005215809363908506
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,PM,1.5671706927861243e-05
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,1.5577676686294072e-05
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,1.4903793288396042e-05
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,1.3435698639957861e-06
2017,July,Sutter (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,2.9444272172920877e-05
2017,July,Sutter (SV),Motor Coach,Dsl,STREX,DSL,NOx,1.6326977191172045e-05
2017,July,Sutter (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Sutter (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Sutter (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Sutter (SV),PTO,Dsl,RUNEX,DSL,CO,0.0008189163470041487
2017,July,Sutter (SV),PTO,Dsl,RUNEX,DSL,NH3,6.791049919216532e-05
