calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,CO,5.87783571833441e-05
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00021444839430161532
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,PM,4.0227101674753386e-06
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,3.998573906470486e-06
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.825597369269046e-06
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,1.2515161662016602e-07
2017,July,Tehama (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,1.578893489069689e-05
2017,July,Tehama (SV),All Other Buses,Dsl,PMBW,DSL,PM,2.0223822806252364e-05
2017,July,Tehama (SV),All Other Buses,Dsl,PMBW,DSL,PM10,2.0223822806252364e-05
2017,July,Tehama (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.078337982188325e-06
2017,July,Tehama (SV),All Other Buses,Dsl,PMTW,DSL,PM,5.260080718194404e-06
2017,July,Tehama (SV),All Other Buses,Dsl,PMTW,DSL,PM10,5.260080718194404e-06
2017,July,Tehama (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.315020179548601e-06
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.001760627680091002
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,1.2235362907411371e-05
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.005875347471769018
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0003227356894579324
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0003207992753211848
2017,July,Tehama (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00030692164067449364
