calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,CO,1.0989283723052694e-05
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,NOx,3.94132592556933e-05
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,PM,8.282883823352826e-07
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,PM10,8.233186520412709e-07
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,7.877022516008538e-07
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,SOx,2.226186515912761e-08
2017,July,Trinity (NC),All Other Buses,Dsl,IDLEX,DSL,TOG,3.2895393412625653e-06
2017,July,Trinity (NC),All Other Buses,Dsl,PMBW,DSL,PM,1.0870726039266286e-05
2017,July,Trinity (NC),All Other Buses,Dsl,PMBW,DSL,PM10,1.0870726039266286e-05
2017,July,Trinity (NC),All Other Buses,Dsl,PMBW,DSL,PM2_5,3.804754113743201e-06
2017,July,Trinity (NC),All Other Buses,Dsl,PMTW,DSL,PM,2.8274029583685078e-06
2017,July,Trinity (NC),All Other Buses,Dsl,PMTW,DSL,PM10,2.8274029583685078e-06
2017,July,Trinity (NC),All Other Buses,Dsl,PMTW,DSL,PM2_5,7.068507395921269e-07
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,CO,0.000808134673373427
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,NH3,7.365898553647504e-06
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0023044699044389725
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,PM,0.00015963457334944374
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00015867676590934708
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00015181247925532098
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,SOx,2.9144204470427927e-06
2017,July,Trinity (NC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0003870149402332932
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,CO,4.551202109343857e-05
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0001025960092415559
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,PM,6.794890904113546e-07
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,PM10,6.754121558688864e-07
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,6.461941249811983e-07
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,SOx,1.0089226773394818e-07
2017,July,Trinity (NC),Motor Coach,Dsl,IDLEX,DSL,TOG,8.390223626805766e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMBW,DSL,PM,8.879583527765793e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMBW,DSL,PM10,8.879583527765793e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMBW,DSL,PM2_5,3.107854234718027e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMTW,DSL,PM,1.2839816538689245e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMTW,DSL,PM10,1.2839816538689245e-06
2017,July,Trinity (NC),Motor Coach,Dsl,PMTW,DSL,PM2_5,3.209954134672311e-07
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,CO,0.00011718486488688034
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,NH3,1.581776528354825e-05
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0006704695815327628
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,PM,2.0180811008065382e-05
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,PM10,2.005972614201699e-05
2017,July,Trinity (NC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,1.919195126867018e-05
