calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00021848375347872858
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0007095531739078662
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,PM,1.1911157442705078e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,PM10,1.183969049804885e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.1327510728012528e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,SOx,4.97747697099079e-07
2017,July,Tulare (SJV),All Other Buses,Dsl,IDLEX,DSL,TOG,4.7058221850516936e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,PMBW,DSL,PM,0.00015905360096689507
2017,July,Tulare (SJV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00015905360096689507
2017,July,Tulare (SJV),All Other Buses,Dsl,PMBW,DSL,PM2_5,5.566876033841328e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,PMTW,DSL,PM,4.1368775212305516e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,PMTW,DSL,PM10,4.1368775212305516e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.0342193803076379e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,CO,0.009682421429185264
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0003152229720741106
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.02965133414476989
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0017494294854988265
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0017389329085858332
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0016637074407093839
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,SOx,4.006342003850404e-05
2017,July,Tulare (SJV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.004614401459155813
2017,July,Tulare (SJV),All Other Buses,Dsl,STREX,DSL,NOx,0.0002100248380270108
2017,July,Tulare (SJV),All Other Buses,NG,IDLEX,CAT,CO,6.749578950065055e-07
2017,July,Tulare (SJV),All Other Buses,NG,IDLEX,CAT,NOx,2.1861496467824658e-07
2017,July,Tulare (SJV),All Other Buses,NG,IDLEX,CAT,PM,4.713468622221731e-10
