calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,CO,5.784960153058323e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0002192642652386317
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,PM,3.65974801739593e-06
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,3.637789529291555e-06
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.48042036454353e-06
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.324517745781389e-07
2017,July,Tuolumne (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,1.4306307016117263e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMBW,DSL,PM,4.896346721786236e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMBW,DSL,PM10,4.896346721786236e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.7137213526251827e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMTW,DSL,PM,1.2735069540314475e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMTW,DSL,PM10,1.2735069540314475e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,3.1837673850786187e-06
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.003915564105844743
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,5.0414257889511214e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0126569354026287
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0007122096344583464
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0007079363766515962
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0006773113623698873
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,1.3072198252354081e-05
2017,July,Tuolumne (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.001892547235121529
2017,July,Tuolumne (MC),All Other Buses,Dsl,STREX,DSL,NOx,1.318093173051457e-05
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Tuolumne (MC),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00023335099744918285
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0005260342326189111
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,PM,3.483902784229174e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,3.4629993675237997e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.313191547801946e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,5.172987431670229e-07
2017,July,Tuolumne (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,4.301867957296868e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMBW,DSL,PM,4.552774464946704e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMBW,DSL,PM10,4.552774464946704e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.5934710627313464e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMTW,DSL,PM,6.583280475841548e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMTW,DSL,PM10,6.583280475841548e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.645820118960387e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,CO,0.0006008347788687983
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,NH3,8.110145892571908e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0034483019517394208
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,PM,0.00010347183598435403
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00010285100496844793
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,PM2_5,9.840171602112073e-05
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,SOx,8.870867815537026e-06
2017,July,Tuolumne (MC),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00019440466280917966
2017,July,Tuolumne (MC),Motor Coach,Dsl,STREX,DSL,NOx,0.00010779823236672838
2017,July,Tuolumne (MC),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Tuolumne (MC),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Tuolumne (MC),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,CO,0.00752474314937793
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,NH3,0.0001605825106163913
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,NOx,0.018378565524939577
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,PM,0.0009512122164701095
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,PM10,0.0009455049431712889
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,PM2_5,0.0009046028178630743
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,SOx,3.1975151186380145e-05
2017,July,Tuolumne (MC),PTO,Dsl,RUNEX,DSL,TOG,0.0020715275946313195
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,CO,0.00023942115669135658
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,NOx,0.0034827689310849693
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,PM,5.068210997692295e-06
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,PM10,5.037801731706141e-06
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,PM2_5,4.819868658805372e-06
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,SOx,2.4388059077954844e-06
2017,July,Tuolumne (MC),SBUS,Dsl,IDLEX,DSL,TOG,2.5232811819027345e-05
