calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,CO,0.0003578262902713237
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0014020895715501443
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,PM,1.6079930462411607e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,PM10,1.5983450879637136e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.5292013869753438e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,SOx,1.0051764999144923e-06
2017,July,Ventura (SCC),All Other Buses,Dsl,IDLEX,DSL,TOG,6.413714497180671e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,PMBW,DSL,PM,0.00027518962727758546
2017,July,Ventura (SCC),All Other Buses,Dsl,PMBW,DSL,PM10,0.00027518962727758546
2017,July,Ventura (SCC),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.631636954715491e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,PMTW,DSL,PM,7.705327054293628e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,PMTW,DSL,PM10,7.705327054293628e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.926331763573407e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,CO,0.009573270386758788
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0006643350278862126
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.03907385248675545
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0019451966184835703
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.001933525438772669
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0018498819841778755
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,SOx,6.666680210131881e-05
2017,July,Ventura (SCC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.003550217928970735
2017,July,Ventura (SCC),All Other Buses,Dsl,STREX,DSL,NOx,0.0005374472886210634
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,CO,3.9554823644484546e-05
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,NOx,1.2811578970877759e-05
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,PM,2.762252601015877e-08
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,PM10,2.4694538253081942e-08
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,PM2_5,2.2705716380350507e-08
2017,July,Ventura (SCC),All Other Buses,NG,IDLEX,CAT,TOG,3.966348822754996e-05
2017,July,Ventura (SCC),All Other Buses,NG,PMBW,CAT,PM,1.798819890156626e-05
2017,July,Ventura (SCC),All Other Buses,NG,PMBW,CAT,PM10,1.798819890156626e-05
2017,July,Ventura (SCC),All Other Buses,NG,PMBW,CAT,PM2_5,6.295869615548192e-06
2017,July,Ventura (SCC),All Other Buses,NG,PMTW,CAT,PM,5.036707125390366e-06
2017,July,Ventura (SCC),All Other Buses,NG,PMTW,CAT,PM10,5.036707125390366e-06
2017,July,Ventura (SCC),All Other Buses,NG,PMTW,CAT,PM2_5,1.2591767813475915e-06
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,CO,0.0010613234401992552
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,NH3,0.0004449090018981439
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,NOx,6.854154262610435e-05
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,PM,1.7982187520789143e-07
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,PM10,1.6076075643585502e-07
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,PM2_5,1.4781358142088677e-07
2017,July,Ventura (SCC),All Other Buses,NG,RUNEX,CAT,TOG,0.00018083670684550696
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,CO,0.0006988721045659208
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.001575440667675556
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,PM,1.0434077837818307e-05
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,PM10,1.0371473370791395e-05
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,9.92280802376521e-06
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,SOx,1.5492784058279974e-06
2017,July,Ventura (SCC),Motor Coach,Dsl,IDLEX,DSL,TOG,0.00012883833991476643
2017,July,Ventura (SCC),Motor Coach,Dsl,PMBW,DSL,PM,0.00015333248008019142
2017,July,Ventura (SCC),Motor Coach,Dsl,PMBW,DSL,PM10,0.00015333248008019142
2017,July,Ventura (SCC),Motor Coach,Dsl,PMBW,DSL,PM2_5,5.366636802806699e-05
2017,July,Ventura (SCC),Motor Coach,Dsl,PMTW,DSL,PM,1.9716526298143296e-05
2017,July,Ventura (SCC),Motor Coach,Dsl,PMTW,DSL,PM10,1.9716526298143296e-05
2017,July,Ventura (SCC),Motor Coach,Dsl,PMTW,DSL,PM2_5,4.929131574535824e-06
2017,July,Ventura (SCC),Motor Coach,Dsl,RUNEX,DSL,CO,0.0020075812190165796
2017,July,Ventura (SCC),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00024289395744183628
2017,July,Ventura (SCC),Motor Coach,Dsl,RUNEX,DSL,NOx,0.009727002264716116
2017,July,Ventura (SCC),Motor Coach,Dsl,RUNEX,DSL,PM,0.0002850911702956229
2017,July,Ventura (SCC),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0002833806232738491
