calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00014093164407874496
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.0004415977216870477
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,PM,8.477628265577062e-06
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,8.4267624959836e-06
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.062224480563788e-06
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,3.080592873323813e-07
2017,July,Yolo (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,3.395612364069929e-05
2017,July,Yolo (SV),All Other Buses,Dsl,PMBW,DSL,PM,0.00016861442509038396
2017,July,Yolo (SV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00016861442509038396
2017,July,Yolo (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,5.9015048781634395e-05
2017,July,Yolo (SV),All Other Buses,Dsl,PMTW,DSL,PM,4.3855481464817985e-05
2017,July,Yolo (SV),All Other Buses,Dsl,PMTW,DSL,PM10,4.3855481464817985e-05
2017,July,Yolo (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.0963870366204496e-05
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.010427885919448921
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0003112490007877599
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.03202163012374601
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.001939393227387909
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0019277568680235815
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0018443629592459015
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,4.298387322071852e-05
2017,July,Yolo (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.004962440798008693
2017,July,Yolo (SV),All Other Buses,Dsl,STREX,DSL,NOx,0.00012354453824219147
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,CO,7.182229892629918e-05
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,NOx,2.3262827887555902e-05
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,PM,5.015604008331183e-08
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,PM10,4.483949983448077e-08
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,4.122826494848232e-08
2017,July,Yolo (SV),All Other Buses,NG,IDLEX,CAT,TOG,7.201960836794335e-05
2017,July,Yolo (SV),All Other Buses,NG,PMBW,CAT,PM,6.762015207658443e-05
2017,July,Yolo (SV),All Other Buses,NG,PMBW,CAT,PM10,6.762015207658443e-05
2017,July,Yolo (SV),All Other Buses,NG,PMBW,CAT,PM2_5,2.3667053226804548e-05
2017,July,Yolo (SV),All Other Buses,NG,PMTW,CAT,PM,1.75875481854722e-05
2017,July,Yolo (SV),All Other Buses,NG,PMTW,CAT,PM10,1.75875481854722e-05
2017,July,Yolo (SV),All Other Buses,NG,PMTW,CAT,PM2_5,4.39688704636805e-06
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,CO,0.004531527752999722
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,NH3,0.0015535663111298115
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.0004256340927266336
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,PM,9.53895087643906e-07
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,PM10,8.527822083536521e-07
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,7.841017620432909e-07
2017,July,Yolo (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0010911659562654024
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.0002148079148217088
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.00048423327034765874
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,PM,3.207056754427579e-06
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,3.187814413901014e-06
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,3.0499109734606276e-06
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,4.761919407856722e-07
2017,July,Yolo (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,3.9600228661825254e-05
2017,July,Yolo (SV),Motor Coach,Dsl,PMBW,DSL,PM,4.190991249124919e-05
2017,July,Yolo (SV),Motor Coach,Dsl,PMBW,DSL,PM10,4.190991249124919e-05
2017,July,Yolo (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,1.4668469371937214e-05
2017,July,Yolo (SV),Motor Coach,Dsl,PMTW,DSL,PM,6.060144440980965e-06
2017,July,Yolo (SV),Motor Coach,Dsl,PMTW,DSL,PM10,6.060144440980965e-06
2017,July,Yolo (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,1.5150361102452413e-06
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.0005530898400078151
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,7.4656785058412e-05
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.003153002197858963
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,PM,9.524951487936113e-05
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,9.467801779008502e-05
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,9.058228865027249e-05
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,8.165950163642645e-06
2017,July,Yolo (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00017895642468023946
2017,July,Yolo (SV),Motor Coach,Dsl,STREX,DSL,NOx,9.923211715092695e-05
2017,July,Yolo (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Yolo (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Yolo (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,CO,0.013964633512246107
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,NH3,0.0011749347949033789
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,NOx,0.06289586515468633
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,PM,0.0015149660598935367
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,PM10,0.0015058762635341751
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.001440732722958753
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,SOx,0.00017156059114785348
2017,July,Yolo (SV),PTO,Dsl,RUNEX,DSL,TOG,0.0043977184596295845
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,CO,0.00027797360136679565
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.003964019577694802
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,PM,5.100852769394782e-06
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,PM10,5.070247652778412e-06
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,4.850910983694437e-06
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,SOx,2.706836612668191e-06
2017,July,Yolo (SV),SBUS,Dsl,IDLEX,DSL,TOG,2.482273031598505e-05
2017,July,Yolo (SV),SBUS,Dsl,PMBW,DSL,PM,0.00014967023079314262
2017,July,Yolo (SV),SBUS,Dsl,PMBW,DSL,PM10,0.00014967023079314262
2017,July,Yolo (SV),SBUS,Dsl,PMBW,DSL,PM2_5,5.23845807775999e-05
2017,July,Yolo (SV),SBUS,Dsl,PMTW,DSL,PM,3.998570328320147e-05
2017,July,Yolo (SV),SBUS,Dsl,PMTW,DSL,PM10,3.998570328320147e-05
2017,July,Yolo (SV),SBUS,Dsl,PMTW,DSL,PM2_5,9.996425820800367e-06
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,CO,0.0009304124926296561
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,NH3,0.0002252199888628738
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,NOx,0.026707461453640845
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,PM,0.0001581515734749222
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,PM10,0.00015720266403407263
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,PM2_5,0.00015040214637465098
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,SOx,3.759615207448806e-05
2017,July,Yolo (SV),SBUS,Dsl,RUNEX,DSL,TOG,0.00036726614436708864
2017,July,Yolo (SV),SBUS,Dsl,STREX,DSL,NOx,0.0003071314925335515
2017,July,Yolo (SV),SBUS,Gas,DIURN,CAT,TOG,0.00013170504205335646
2017,July,Yolo (SV),SBUS,Gas,DIURN,NCAT,TOG,8.01776583416731e-05
2017,July,Yolo (SV),SBUS,Gas,HOTSOAK,CAT,TOG,2.7889706106741054e-05
2017,July,Yolo (SV),SBUS,Gas,HOTSOAK,NCAT,TOG,4.0668579352823715e-05
2017,July,Yolo (SV),SBUS,Gas,IDLEX,CAT,CO,0.0015754448099721237
2017,July,Yolo (SV),SBUS,Gas,IDLEX,CAT,NOx,1.7755553244311286e-05
2017,July,Yolo (SV),SBUS,Gas,IDLEX,CAT,SOx,5.281679789527173e-07
2017,July,Yolo (SV),SBUS,Gas,IDLEX,CAT,TOG,0.0002947725264412106
2017,July,Yolo (SV),SBUS,Gas,IDLEX,NCAT,CO,0.00022762150687748086
2017,July,Yolo (SV),SBUS,Gas,IDLEX,NCAT,NOx,2.5739932609022853e-06
2017,July,Yolo (SV),SBUS,Gas,IDLEX,NCAT,SOx,8.387203299759767e-08
2017,July,Yolo (SV),SBUS,Gas,IDLEX,NCAT,TOG,4.0913074169572806e-05
2017,July,Yolo (SV),SBUS,Gas,PMBW,CAT,PM,4.615783037911772e-05
2017,July,Yolo (SV),SBUS,Gas,PMBW,CAT,PM10,4.615783037911772e-05
2017,July,Yolo (SV),SBUS,Gas,PMBW,CAT,PM2_5,1.6155240632691196e-05
2017,July,Yolo (SV),SBUS,Gas,PMBW,NCAT,PM,7.314830050924647e-06
2017,July,Yolo (SV),SBUS,Gas,PMBW,NCAT,PM10,7.314830050924647e-06
2017,July,Yolo (SV),SBUS,Gas,PMBW,NCAT,PM2_5,2.5601905178236268e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,CAT,PM,7.9760525878401e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,CAT,PM10,7.9760525878401e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,CAT,PM2_5,1.994013146960025e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,NCAT,PM,1.2639993838116633e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,NCAT,PM10,1.2639993838116633e-06
2017,July,Yolo (SV),SBUS,Gas,PMTW,NCAT,PM2_5,3.159998459529158e-07
2017,July,Yolo (SV),SBUS,Gas,RUNEX,CAT,CO,0.006306544139784512
2017,July,Yolo (SV),SBUS,Gas,RUNEX,CAT,NH3,4.482716335947077e-05
