calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,CO,4.7037643047010684e-05
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00011931091945806513
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,PM,3.427010863627543e-06
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,3.4064487984457785e-06
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.259087331309794e-06
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,7.535624451721267e-08
2017,July,Yuba (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,1.3551499929640382e-05
2017,July,Yuba (SV),All Other Buses,Dsl,PMBW,DSL,PM,2.1826479487232746e-05
2017,July,Yuba (SV),All Other Buses,Dsl,PMBW,DSL,PM10,2.1826479487232746e-05
2017,July,Yuba (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,7.639267820531461e-06
2017,July,Yuba (SV),All Other Buses,Dsl,PMTW,DSL,PM,5.676920975660668e-06
2017,July,Yuba (SV),All Other Buses,Dsl,PMTW,DSL,PM10,5.676920975660668e-06
2017,July,Yuba (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.419230243915167e-06
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.0021705806924990447
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,1.342777243151902e-05
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.0059004296320915115
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.00045577715764621817
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0004530424947003409
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0004334440769215535
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,5.9323739646900525e-06
2017,July,Yuba (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0010532427855749148
2017,July,Yuba (SV),All Other Buses,NG,IDLEX,CAT,CO,0.0
